Scan;Index;Time (s);WE(1).Potential (V);WE(1).Current (A);Current range;Overload
4;4984;46.9000478815888;0.166412353515625;0.156982421875;1 A;
4;4985;46.9081778815682;0.16888427734375;0.160400390625;1 A;
4;4986;46.9163078815477;0.171234130859375;0.162811279296875;1 A;
4;4987;46.9244378815272;0.173736572265625;0.16595458984375;1 A;
4;4988;46.9325678815067;0.176116943359375;0.168701171875;1 A;
4;4989;46.9406978814861;0.1785888671875;0.17169189453125;1 A;
4;4990;46.9488278814656;0.1810302734375;0.174713134765625;1 A;
4;4991;46.9569578814451;0.1834716796875;0.177825927734375;1 A;
4;4992;46.9650878814246;0.1859130859375;0.180633544921875;1 A;
4;4993;46.973217881404;0.18829345703125;0.184234619140625;1 A;
4;4994;46.9813478813835;0.19073486328125;0.186614990234375;1 A;
4;4995;46.989477881363;0.193206787109375;0.190399169921875;1 A;
4;4996;46.9976078813424;0.19561767578125;0.19281005859375;1 A;
4;4997;47.0057378813219;0.198028564453125;0.19683837890625;1 A;
4;4998;47.0138678813014;0.20050048828125;0.198974609375;1 A;
4;4999;47.0219978812809;0.20294189453125;0.203155517578125;1 A;
4;5000;47.0301278812603;0.20538330078125;0.20501708984375;1 A;
4;5001;47.0382578812398;0.207794189453125;0.209320068359375;1 A;
4;5002;47.0463878812193;0.210296630859375;0.211578369140625;1 A;
4;5003;47.0545178811988;0.212738037109375;0.2156982421875;1 A;
4;5004;47.0626478811782;0.215179443359375;0.217742919921875;1 A;
4;5005;47.0707778811577;0.217529296875;0.222076416015625;1 A;
4;5006;47.0789078811372;0.22003173828125;0.223876953125;1 A;
4;5007;47.0870378811167;0.222442626953125;0.227813720703125;1 A;
4;5008;47.0951678810961;0.224884033203125;0.229949951171875;1 A;
4;5009;47.1032978810756;0.22735595703125;0.233306884765625;1 A;
4;5010;47.1114278810551;0.229766845703125;0.236083984375;1 A;
4;5011;47.1195578810346;0.232208251953125;0.2392578125;1 A;
4;5012;47.127687881014;0.234619140625;0.2420654296875;1 A;
4;5013;47.1358178809935;0.237091064453125;0.244354248046875;1 A;
4;5014;47.143947880973;0.239532470703125;0.24755859375;1 A;
4;5015;47.1520778809524;0.241973876953125;0.24945068359375;1 A;
4;5016;47.1602078809319;0.244354248046875;0.252838134765625;1 A;
4;5017;47.1683378809114;0.246826171875;0.2550048828125;1 A;
4;5018;47.1764678808909;0.249298095703125;0.2579345703125;1 A;
4;5019;47.1845978808703;0.251708984375;0.25927734375;1 A;
4;5020;47.1927278808498;0.254150390625;0.262725830078125;1 A;
4;5021;47.2008578808293;0.25665283203125;0.26397705078125;1 A;
4;5022;47.2089878808088;0.259033203125;0.26715087890625;1 A;
4;5023;47.2171178807882;0.261474609375;0.2681884765625;1 A;
4;5024;47.2252478807677;0.263885498046875;0.270751953125;1 A;
4;5025;47.2333778807472;0.266265869140625;0.27203369140625;1 A;
4;5026;47.2415078807267;0.268768310546875;0.2742919921875;1 A;
4;5027;47.2496378807061;0.271209716796875;0.275970458984375;1 A;
4;5028;47.2577678806856;0.273681640625;0.27783203125;1 A;
4;5029;47.2658978806651;0.27606201171875;0.279052734375;1 A;
4;5030;47.2740278806446;0.278564453125;0.2806396484375;1 A;
4;5031;47.282157880624;0.280975341796875;0.281768798828125;1 A;
4;5032;47.2902878806035;0.283416748046875;0.28326416015625;1 A;
4;5033;47.298417880583;0.285858154296875;0.284210205078125;1 A;
4;5034;47.3065478805624;0.28826904296875;0.285491943359375;1 A;
4;5035;47.3146778805419;0.29071044921875;0.28607177734375;1 A;
4;5036;47.3228078805214;0.293212890625;0.287506103515625;1 A;
4;5037;47.3309378805009;0.295623779296875;0.28765869140625;1 A;
4;5038;47.3390678804803;0.298004150390625;0.289093017578125;1 A;
4;5039;47.3471978804598;0.30047607421875;0.289031982421875;1 A;
4;5040;47.3553278804393;0.302947998046875;0.29010009765625;1 A;
4;5041;47.3634578804188;0.305328369140625;0.289581298828125;1 A;
4;5042;47.3715878803982;0.307830810546875;0.2908935546875;1 A;
4;5043;47.3797178803777;0.31024169921875;0.289947509765625;1 A;
4;5044;47.3878478803572;0.31268310546875;0.29107666015625;1 A;
4;5045;47.3959778803367;0.315155029296875;0.28997802734375;1 A;
4;5046;47.4041078803161;0.3175048828125;0.291015625;1 A;
4;5047;47.4122378802956;0.32000732421875;0.289794921875;1 A;
4;5048;47.4203678802751;0.32244873046875;0.29046630859375;1 A;
4;5049;47.4284978802546;0.324859619140625;0.28924560546875;1 A;
4;5050;47.436627880234;0.327301025390625;0.289764404296875;1 A;
4;5051;47.4447578802135;0.3297119140625;0.288848876953125;1 A;
4;5052;47.452887880193;0.332122802734375;0.288665771484375;1 A;
4;5053;47.4610178801724;0.334625244140625;0.28759765625;1 A;
4;5054;47.4691478801519;0.3370361328125;0.2872314453125;1 A;
4;5055;47.4772778801314;0.339508056640625;0.28643798828125;1 A;
4;5056;47.4854078801109;0.34197998046875;0.285552978515625;1 A;
4;5057;47.4935378800903;0.344329833984375;0.284942626953125;1 A;
4;5058;47.5016678800698;0.346771240234375;0.283477783203125;1 A;
4;5059;47.5097978800493;0.3492431640625;0.283050537109375;1 A;
4;5060;47.5179278800288;0.351715087890625;0.281158447265625;1 A;
4;5061;47.5260578800082;0.354156494140625;0.280670166015625;1 A;
4;5062;47.5341878799877;0.35662841796875;0.278839111328125;1 A;
4;5063;47.5423178799672;0.35906982421875;0.278106689453125;1 A;
4;5064;47.5504478799467;0.361480712890625;0.2762451171875;1 A;
4;5065;47.5585778799261;0.3638916015625;0.275421142578125;1 A;
4;5066;47.5667078799056;0.3663330078125;0.2738037109375;1 A;
4;5067;47.5748378798851;0.3687744140625;0.272735595703125;1 A;
4;5068;47.5829678798646;0.371246337890625;0.2711181640625;1 A;
4;5069;47.591097879844;0.3736572265625;0.269866943359375;1 A;
4;5070;47.5992278798235;0.376068115234375;0.2684326171875;1 A;
4;5071;47.607357879803;0.3785400390625;0.26702880859375;1 A;
4;5072;47.6154878797824;0.3809814453125;0.26544189453125;1 A;
4;5073;47.6236178797619;0.38336181640625;0.264007568359375;1 A;
4;5074;47.6317478797414;0.38580322265625;0.262451171875;1 A;
4;5075;47.6398778797209;0.38824462890625;0.26104736328125;1 A;
4;5076;47.6480078797003;0.390655517578125;0.259185791015625;1 A;
4;5077;47.6561378796798;0.39312744140625;0.2579345703125;1 A;
4;5078;47.6642678796593;0.39556884765625;0.25604248046875;1 A;
4;5079;47.6723978796388;0.39801025390625;0.254638671875;1 A;
4;5080;47.6805278796182;0.40045166015625;0.252655029296875;1 A;
4;5081;47.6886578795977;0.40289306640625;0.2513427734375;1 A;
4;5082;47.6967878795772;0.4053955078125;0.24945068359375;1 A;
4;5083;47.7049178795567;0.407867431640625;0.248046875;1 A;
