Scan;Index;Time (s);WE(1).Potential (V);WE(1).Current (A);Baseline corrected WE(1).Current (A);Current range;Overload
1;1485;11.2447709716097;-0.37042236328125;0.028045654296875;;1 A;
1;1486;11.2482609716009;-0.3680419921875;0.027557373046875;;1 A;
1;1487;11.2517509715921;-0.3656005859375;0.0270538330078125;;1 A;
1;1488;11.2552409715832;-0.3631591796875;0.0266754150390625;;1 A;
1;1489;11.2587309715744;-0.36065673828125;0.0261444091796875;;1 A;
1;1490;11.2622209715656;-0.3582763671875;0.025726318359375;;1 A;
1;1491;11.2657109715568;-0.3558349609375;0.0253082275390625;;1 A;
1;1492;11.269200971548;-0.353363037109375;0.0248321533203125;;1 A;
1;1493;11.2726909715392;-0.3509521484375;0.024517822265625;;1 A;
1;1494;11.2761809715304;-0.34844970703125;0.0241790771484375;;1 A;
1;1495;11.2796709715216;-0.346038818359375;0.0238525390625;;1 A;
1;1496;11.2831609715128;-0.343536376953125;0.0235595703125;;1 A;
1;1497;11.2866509715039;-0.3411865234375;0.02325439453125;;1 A;
1;1498;11.2901409714951;-0.338714599609375;0.0229034423828125;;1 A;
1;1499;11.2936309714863;-0.33624267578125;0.022662353515625;;1 A;
1;1500;11.2971209714775;-0.33380126953125;0.022314453125;;1 A;
1;1501;11.3006109714687;-0.33135986328125;0.0220672607421875;;1 A;
1;1502;11.3041009714599;-0.32891845703125;0.02181396484375;;1 A;
1;1503;11.3075909714511;-0.326507568359375;0.0215728759765625;;1 A;
1;1504;11.3110809714423;-0.32403564453125;0.0213836669921875;;1 A;
1;1505;11.3145709714335;-0.321563720703125;0.021051025390625;;1 A;
1;1506;11.3180609714246;-0.31915283203125;0.0209014892578125;;1 A;
1;1507;11.3215509714158;-0.3167724609375;0.02066650390625;;1 A;
1;1508;11.325040971407;-0.314208984375;0.0204071044921875;;1 A;
1;1509;11.3285309713982;-0.311859130859375;0.0202178955078125;;1 A;
1;1510;11.3320209713894;-0.309417724609375;0.0200653076171875;;1 A;
1;1511;11.3355109713806;-0.306915283203125;0.0198394775390625;;1 A;
1;1512;11.3390009713718;-0.30450439453125;0.0196746826171875;;1 A;
1;1513;11.342490971363;-0.30206298828125;0.019525146484375;;1 A;
1;1514;11.3459809713542;-0.29962158203125;0.019317626953125;;1 A;
1;1515;11.3494709713453;-0.297119140625;0.0190948486328125;;1 A;
1;1516;11.3529609713365;-0.294708251953125;0.01898193359375;;1 A;
1;1517;11.3564509713277;-0.29229736328125;0.0188720703125;;1 A;
1;1518;11.3599409713189;-0.289825439453125;0.0186553955078125;;1 A;
1;1519;11.3634309713101;-0.287384033203125;0.0183685302734375;;1 A;
1;1520;11.3669209713013;-0.284942626953125;0.0181488037109375;;1 A;
1;1521;11.3704109712925;-0.28253173828125;0.0181121826171875;;1 A;
1;1522;11.3739009712837;-0.280120849609375;0.0179718017578125;;1 A;
1;1523;11.3773909712748;-0.27764892578125;0.017919921875;;1 A;
1;1524;11.380880971266;-0.27520751953125;0.0176361083984375;;1 A;
1;1525;11.3843709712572;-0.272705078125;0.0175140380859375;;1 A;
1;1526;11.3878609712484;-0.27032470703125;0.0174652099609375;;1 A;
1;1527;11.3913509712396;-0.26788330078125;0.017303466796875;;1 A;
1;1528;11.3948409712308;-0.26544189453125;0.0171234130859375;;1 A;
1;1529;11.398330971222;-0.262939453125;0.0169647216796875;;1 A;
1;1530;11.4018209712132;-0.260498046875;0.0167572021484375;;1 A;
1;1531;11.4053109712044;-0.258056640625;0.01658935546875;;1 A;
1;1532;11.4088009711955;-0.25567626953125;0.016455078125;;1 A;
1;1533;11.4122909711867;-0.253204345703125;0.0162841796875;;1 A;
1;1534;11.4157809711779;-0.250762939453125;0.0160614013671875;;1 A;
1;1535;11.4192709711691;-0.248321533203125;0.015826416015625;;1 A;
1;1536;11.4227609711603;-0.245819091796875;0.015740966796875;;1 A;
1;1537;11.4262509711515;-0.24346923828125;0.015557861328125;;1 A;
1;1538;11.4297409711427;-0.240966796875;0.015374755859375;;1 A;
1;1539;11.4332309711339;-0.238525390625;0.015234375;;1 A;
1;1540;11.4367209711251;-0.236083984375;0.0150848388671875;;1 A;
1;1541;11.4402109711162;-0.23370361328125;0.0149688720703125;;1 A;
1;1542;11.4437009711074;-0.23126220703125;0.014874267578125;;1 A;
1;1543;11.4471909710986;-0.22882080078125;0.0147003173828125;;1 A;
1;1544;11.4506809710898;-0.22637939453125;0.01453857421875;;1 A;
1;1545;11.454170971081;-0.22393798828125;0.0144378662109375;;1 A;
1;1546;11.4576609710722;-0.221466064453125;0.0142730712890625;;1 A;
1;1547;11.4611509710634;-0.219024658203125;0.014105224609375;;1 A;
1;1548;11.4646409710546;-0.216583251953125;0.0139617919921875;;1 A;
1;1549;11.4681309710458;-0.214080810546875;0.013800048828125;;1 A;
1;1550;11.4716209710369;-0.211669921875;0.0136688232421875;;1 A;
1;1551;11.4751109710281;-0.209228515625;0.0134765625;;1 A;
1;1552;11.4786009710193;-0.20684814453125;0.0132537841796875;;1 A;
1;1553;11.4820909710105;-0.204315185546875;0.0129852294921875;;1 A;
1;1554;11.4855809710017;-0.201904296875;0.0127044677734375;;1 A;
1;1555;11.4890709709929;-0.199462890625;0.0126861572265625;;1 A;
1;1556;11.4925609709841;-0.196990966796875;0.0124664306640625;;1 A;
1;1557;11.4960509709753;-0.194580078125;0.0122528076171875;;1 A;
1;1558;11.4995409709665;-0.192138671875;0.0118560791015625;;1 A;
1;1559;11.5030309709576;-0.189666748046875;0.0117767333984375;;1 A;
1;1560;11.5065209709488;-0.187286376953125;0.011639404296875;;1 A;
1;1561;11.51001097094;-0.184783935546875;0.0114990234375;;1 A;
1;1562;11.5135009709312;-0.182342529296875;0.0113555908203125;;1 A;
1;1563;11.5169909709224;-0.179901123046875;0.011090087890625;;1 A;
1;1564;11.5204809709136;-0.177459716796875;0.0110076904296875;;1 A;
1;1565;11.5239709709048;-0.175048828125;0.010931396484375;;1 A;
1;1566;11.527460970896;-0.17254638671875;0.0109466552734375;;1 A;
1;1567;11.5309509708871;-0.170166015625;0.010711669921875;;1 A;
1;1568;11.5344409708783;-0.167694091796875;0.0105438232421875;;1 A;
1;1569;11.5379309708695;-0.165313720703125;0.01048583984375;;1 A;
1;1570;11.5414209708607;-0.16278076171875;0.0102996826171875;;1 A;
1;1571;11.5449109708519;-0.160400390625;0.010150146484375;;1 A;
1;1572;11.5484009708431;-0.157928466796875;0.0099517822265625;;1 A;
1;1573;11.5518909708343;-0.155487060546875;0.00958251953125;;1 A;
1;1574;11.5553809708255;-0.15301513671875;0.00948181152343749;;1 A;
1;1575;11.5588709708167;-0.15069580078125;0.00936279296875001;;1 A;
1;1576;11.5623609708078;-0.148162841796875;0.0092193603515625;;1 A;
1;1577;11.565850970799;-0.145751953125;0.0089385986328125;;1 A;
1;1578;11.5693409707902;-0.143280029296875;0.00858154296874999;;1 A;
1;1579;11.5728309707814;-0.140838623046875;0.00824584960937499;;1 A;
1;1580;11.5763209707726;-0.138427734375;0.00794677734375;;1 A;
1;1581;11.5798109707638;-0.135955810546875;0.0075408935546875;;1 A;
1;1582;11.583300970755;-0.133544921875;0.00726928710937499;;1 A;
1;1583;11.5867909707462;-0.131103515625;0.007098388671875;;1 A;
1;1584;11.5902809707374;-0.128692626953125;0.00695190429687501;;1 A;
1;1585;11.5937709707285;-0.126251220703125;0.00690307617187499;;1 A;
1;1586;11.5972609707197;-0.123748779296875;0.006732177734375;;1 A;
1;1587;11.6007509707109;-0.12139892578125;0.00663146972656251;;1 A;
1;1588;11.6042409707021;-0.118865966796875;0.0065948486328125;;1 A;
1;1589;11.6077309706933;-0.116424560546875;0.006549072265625;;1 A;
1;1590;11.6112209706845;-0.114013671875;0.0064727783203125;;1 A;
1;1591;11.6147109706757;-0.111541748046875;0.00637207031250001;;1 A;
1;1592;11.6182009706669;-0.109100341796875;0.00627746582031249;;1 A;
1;1593;11.6216909706581;-0.106689453125;0.00632324218749999;;1 A;
1;1594;11.6251809706492;-0.104217529296875;0.00635986328125;;1 A;
1;1595;11.6286709706404;-0.101776123046875;0.00636901855468749;;1 A;
1;1596;11.6321609706316;-0.09930419921875;0.00639953613281249;;1 A;
1;1597;11.6356509706228;-0.09698486328125;0.0063201904296875;;1 A;
1;1598;11.639140970614;-0.094451904296875;0.00644836425781251;;1 A;
1;1599;11.6426309706052;-0.092010498046875;0.006622314453125;;1 A;
1;1600;11.6461209705964;-0.089569091796875;0.006732177734375;;1 A;
1;1601;11.6496109705876;-0.08709716796875;0.0068023681640625;;1 A;
1;1602;11.6531009705787;-0.08465576171875;0.00702514648437499;;1 A;
1;1603;11.6565909705699;-0.082244873046875;0.00719604492187501;;1 A;
1;1604;11.6600809705611;-0.079803466796875;0.0073883056640625;;1 A;
1;1605;11.6635709705523;-0.077301025390625;0.007525634765625;;1 A;
1;1606;11.6670609705435;-0.074920654296875;0.007733154296875;;1 A;
