Scan;Index;Time (s);WE(1).Potential (V);WE(1).Current (A);Baseline corrected WE(1).Current (A);Current range
1;151;7.99032097982638;0.36883544921875;0.205474853515625;;1 A
1;152;8.00252097979558;0.371307373046875;0.204559326171875;;1 A
1;153;8.01472097976477;0.373779296875;0.203857421875;;1 A
1;154;8.02692097973397;0.37615966796875;0.20361328125;;1 A
1;155;8.03912097970317;0.378631591796875;0.20294189453125;;1 A
1;156;8.05132097967237;0.38104248046875;0.201812744140625;;1 A
1;157;8.06352097964157;0.383514404296875;0.20098876953125;;1 A
1;158;8.07572097961076;0.385986328125;0.20050048828125;;1 A
1;159;8.08792097957996;0.388427734375;0.19976806640625;;1 A
1;160;8.10012097954916;0.390777587890625;0.198638916015625;;1 A
1;161;8.11232097951836;0.39324951171875;0.197723388671875;;1 A
1;162;8.12452097948756;0.395721435546875;0.19696044921875;;1 A
1;163;8.13672097945675;0.398162841796875;0.19598388671875;;1 A
1;164;8.14892097942595;0.40057373046875;0.194854736328125;;1 A
1;165;8.16112097939515;0.4029541015625;0.19415283203125;;1 A
1;166;8.17332097936435;0.405487060546875;0.19317626953125;;1 A
1;167;8.18552097933355;0.40789794921875;0.191864013671875;;1 A
1;168;8.19772097930274;0.410369873046875;0.1907958984375;;1 A
1;169;8.20992097927194;0.412841796875;0.1900634765625;;1 A
1;170;8.22212097924114;0.415191650390625;0.18902587890625;;1 A
1;171;8.23432097921034;0.417694091796875;0.187652587890625;;1 A
1;172;8.24652097917954;0.420166015625;0.18658447265625;;1 A
1;173;8.25872097914873;0.422576904296875;0.18572998046875;;1 A
1;174;8.27092097911793;0.425018310546875;0.18463134765625;;1 A
1;175;8.28312097908713;0.42742919921875;0.183349609375;;1 A
1;176;8.29532097905633;0.42987060546875;0.1822509765625;;1 A
1;177;8.30752097902553;0.432281494140625;0.181243896484375;;1 A
1;178;8.31972097899472;0.434722900390625;0.180145263671875;;1 A
1;179;8.33192097896392;0.437164306640625;0.178863525390625;;1 A
1;180;8.34412097893312;0.43963623046875;0.17791748046875;;1 A
1;181;8.35632097890232;0.44207763671875;0.176727294921875;;1 A
1;182;8.36852097887152;0.4444580078125;0.1754150390625;;1 A
1;183;8.38072097884071;0.44696044921875;0.17431640625;;1 A
1;184;8.39292097880991;0.44940185546875;0.17340087890625;;1 A
1;185;8.40512097877911;0.451873779296875;0.17230224609375;;1 A
1;186;8.41732097874831;0.45428466796875;0.1710205078125;;1 A
1;187;8.42952097871751;0.456695556640625;0.16986083984375;;1 A
1;188;8.4417209786867;0.45916748046875;0.16888427734375;;1 A
1;189;8.4539209786559;0.4615478515625;0.167816162109375;;1 A
1;190;8.4661209786251;0.464019775390625;0.166595458984375;;1 A
1;191;8.4783209785943;0.466461181640625;0.16546630859375;;1 A
1;192;8.4905209785635;0.46893310546875;0.1644287109375;;1 A
1;193;8.50272097853269;0.47137451171875;0.163330078125;;1 A
1;194;8.51492097850189;0.47381591796875;0.162200927734375;;1 A
1;195;8.52712097847109;0.476226806640625;0.161224365234375;;1 A
1;196;8.53932097844029;0.478668212890625;0.160186767578125;;1 A
1;197;8.55152097840948;0.481109619140625;0.15899658203125;;1 A
1;198;8.56372097837868;0.48358154296875;0.157958984375;;1 A
1;199;8.57592097834788;0.485992431640625;0.157012939453125;;1 A
1;200;8.58812097831708;0.488433837890625;0.155975341796875;;1 A
1;201;8.60032097828628;0.490875244140625;0.154876708984375;;1 A
1;202;8.61252097825547;0.49334716796875;0.15380859375;;1 A
1;203;8.62472097822467;0.4957275390625;0.152862548828125;;1 A
1;204;8.63692097819387;0.4981689453125;0.15185546875;;1 A
1;205;8.64912097816307;0.500640869140625;0.15081787109375;;1 A
1;206;8.66132097813227;0.503082275390625;0.149871826171875;;1 A
1;207;8.67352097810146;0.50555419921875;0.148895263671875;;1 A
1;208;8.68572097807066;0.50799560546875;0.147918701171875;;1 A
1;209;8.69792097803986;0.510406494140625;0.146942138671875;;1 A
1;210;8.71012097800906;0.512847900390625;0.146087646484375;;1 A
1;211;8.72232097797826;0.515380859375;0.145172119140625;;1 A
1;212;8.73452097794745;0.5177001953125;0.1441650390625;;1 A
1;213;8.74672097791665;0.520233154296875;0.14324951171875;;1 A
1;214;8.75892097788585;0.522613525390625;0.142425537109375;;1 A
1;215;8.77112097785505;0.5250244140625;0.141571044921875;;1 A
1;216;8.78332097782425;0.527496337890625;0.140625;;1 A
1;217;8.79552097779344;0.5299072265625;0.1397705078125;;1 A
1;218;8.80772097776264;0.532379150390625;0.13897705078125;;1 A
1;219;8.81992097773184;0.5347900390625;0.138153076171875;;1 A
1;220;8.83212097770104;0.537261962890625;0.137298583984375;;1 A
1;221;8.84432097767024;0.539642333984375;0.13653564453125;;1 A
1;222;8.85652097763943;0.542144775390625;0.135772705078125;;1 A
1;223;8.86872097760863;0.544586181640625;0.134979248046875;;1 A
1;224;8.88092097757783;0.547027587890625;0.13421630859375;;1 A
1;225;8.89312097754703;0.549468994140625;0.133544921875;;1 A
1;226;8.90532097751623;0.551971435546875;0.1328125;;1 A
1;227;8.91752097748542;0.5543212890625;0.132049560546875;;1 A
1;228;8.92972097745462;0.5567626953125;0.13134765625;;1 A
1;229;8.94192097742382;0.559173583984375;0.13067626953125;;1 A
1;230;8.95412097739302;0.561676025390625;0.130035400390625;;1 A
1;231;8.96632097736222;0.564056396484375;0.129302978515625;;1 A
1;232;8.97852097733141;0.566558837890625;0.128662109375;;1 A
1;233;8.99072097730061;0.5689697265625;0.128082275390625;;1 A
1;234;9.00292097726981;0.5714111328125;0.127471923828125;;1 A
1;235;9.01512097723901;0.57391357421875;0.126800537109375;;1 A
1;236;9.02732097720821;0.57635498046875;0.126220703125;;1 A
1;237;9.0395209771774;0.578765869140625;0.12567138671875;;1 A
1;238;9.0517209771466;0.5811767578125;0.12506103515625;;1 A
1;239;9.0639209771158;0.583709716796875;0.12451171875;;1 A
1;240;9.076120977085;0.58599853515625;0.1240234375;;1 A
1;241;9.0883209770542;0.588470458984375;0.123504638671875;;1 A
1;242;9.10052097702339;0.5909423828125;0.122894287109375;;1 A
1;243;9.11272097699259;0.593353271484375;0.12237548828125;;1 A
1;244;9.12492097696179;0.5958251953125;0.12188720703125;;1 A
1;245;9.13712097693099;0.59820556640625;0.12139892578125;;1 A
1;246;9.14932097690019;0.6007080078125;0.12091064453125;;1 A
1;247;9.16152097686938;0.6031494140625;0.120452880859375;;1 A
1;248;9.17372097683858;0.6055908203125;0.12005615234375;;1 A
1;249;9.18592097680778;0.608001708984375;0.11962890625;;1 A
1;250;9.19812097677698;0.6104736328125;0.119232177734375;;1 A
1;251;9.21032097674617;0.61285400390625;0.11883544921875;;1 A
1;252;9.22252097671537;0.61529541015625;0.118438720703125;;1 A
1;253;9.23472097668457;0.61773681640625;0.118011474609375;;1 A
1;254;9.24692097665377;0.6202392578125;0.117645263671875;;1 A
1;255;9.25912097662297;0.622650146484375;0.11724853515625;;1 A
1;256;9.27132097659216;0.625030517578125;0.11688232421875;;1 A
1;257;9.28352097656136;0.627471923828125;0.116546630859375;;1 A
1;258;9.29572097653056;0.629974365234375;0.116180419921875;;1 A
1;259;9.30792097649976;0.63238525390625;0.115875244140625;;1 A
1;260;9.32012097646896;0.634796142578125;0.115570068359375;;1 A
1;261;9.33232097643815;0.63726806640625;0.11529541015625;;1 A
1;262;9.34452097640735;0.639739990234375;0.11505126953125;;1 A
1;263;9.35672097637655;0.64215087890625;0.114776611328125;;1 A
1;264;9.36892097634575;0.64459228515625;0.114532470703125;;1 A
1;265;9.38112097631495;0.647064208984375;0.1142578125;;1 A
1;266;9.39332097628414;0.649444580078125;0.114044189453125;;1 A
1;267;9.40552097625334;0.65185546875;0.11376953125;;1 A
1;268;9.41772097622254;0.654327392578125;0.113525390625;;1 A
1;269;9.42992097619174;0.656829833984375;0.11328125;;1 A
1;270;9.44212097616094;0.65924072265625;0.113128662109375;;1 A
1;271;9.45432097613013;0.661712646484375;0.1129150390625;;1 A
1;272;9.46652097609933;0.66412353515625;0.11273193359375;;1 A
1;273;9.47872097606853;0.666595458984375;0.112548828125;;1 A
1;274;9.49092097603773;0.66900634765625;0.112457275390625;;1 A
1;275;9.50312097600693;0.671478271484375;0.1123046875;;1 A
1;276;9.51532097597612;0.673828125;0.112213134765625;;1 A
1;277;9.52752097594532;0.67633056640625;0.112091064453125;;1 A
1;278;9.53972097591452;0.67877197265625;0.111968994140625;;1 A
1;279;9.55192097588372;0.68121337890625;0.111846923828125;;1 A
1;280;9.56412097585292;0.683624267578125;0.11175537109375;;1 A
1;281;9.57632097582211;0.686065673828125;0.11163330078125;;1 A
1;282;9.58852097579131;0.68853759765625;0.111572265625;;1 A
1;283;9.60072097576051;0.690887451171875;0.111480712890625;;1 A
1;284;9.61292097572971;0.69342041015625;0.111419677734375;;1 A
1;285;9.62512097569891;0.695770263671875;0.11138916015625;;1 A
1;286;9.6373209756681;0.6982421875;0.111328125;;1 A
1;287;9.6495209756373;0.700653076171875;0.111297607421875;;1 A
1;288;9.6617209756065;0.703155517578125;0.111297607421875;;1 A
1;289;9.6739209755757;0.705596923828125;0.11126708984375;;1 A
1;290;9.6861209755449;0.7080078125;0.111328125;;1 A
1;291;9.69832097551409;0.71044921875;0.111358642578125;;1 A
1;292;9.71052097548329;0.712921142578125;0.111358642578125;;1 A
1;293;9.72272097545249;0.71533203125;0.111419677734375;;1 A
1;294;9.73492097542169;0.717742919921875;0.1114501953125;;1 A
1;295;9.74712097539089;0.72021484375;0.111480712890625;;1 A
1;296;9.75932097536008;0.72259521484375;0.111602783203125;;1 A
1;297;9.77152097532928;0.725128173828125;0.111663818359375;;1 A
1;298;9.78372097529848;0.727508544921875;0.11175537109375;;1 A
1;299;9.79592097526768;0.73004150390625;0.111846923828125;;1 A
1;300;9.80812097523687;0.732421875;0.11199951171875;;1 A
1;301;9.82032097520607;0.734893798828125;0.112152099609375;;1 A
1;302;9.83252097517527;0.737335205078125;0.112274169921875;;1 A
1;303;9.84472097514447;0.739776611328125;0.1124267578125;;1 A
1;304;9.85692097511367;0.742218017578125;0.112640380859375;;1 A
1;305;9.86912097508286;0.74462890625;0.11285400390625;;1 A
