Scan;Index;Time (s);WE(1).Potential (V);WE(1).Current (A)
4;11169;142.167897641061;-1.50054931640625;-0.023870849609375
4;11170;142.18009764103;-1.4984130859375;-0.0238616943359375
4;11171;142.192297640999;-1.4959716796875;-0.0238494873046875
4;11172;142.204497640968;-1.49383544921875;-0.023876953125
4;11173;142.216697640937;-1.4910888671875;-0.0238861083984375
4;11174;142.228897640907;-1.48834228515625;-0.02386474609375
4;11175;142.241097640876;-1.48590087890625;-0.02386474609375
4;11176;142.253297640845;-1.48345947265625;-0.0238739013671875
4;11177;142.265497640814;-1.48101806640625;-0.023876953125
4;11178;142.277697640783;-1.47857666015625;-0.0238739013671875
4;11179;142.289897640753;-1.4764404296875;-0.0238922119140625
4;11180;142.302097640722;-1.4739990234375;-0.0239013671875
4;11181;142.314297640691;-1.47125244140625;-0.0238800048828125
4;11182;142.32649764066;-1.468505859375;-0.02388916015625
4;11183;142.338697640629;-1.46575927734375;-0.023919677734375
4;11184;142.350897640599;-1.4642333984375;-0.023919677734375
4;11185;142.363097640568;-1.461181640625;-0.0238922119140625
4;11186;142.375297640537;-1.45904541015625;-0.0239044189453125
4;11187;142.387497640506;-1.45599365234375;-0.0239105224609375
4;11188;142.399697640475;-1.4544677734375;-0.023919677734375
4;11189;142.411897640445;-1.451416015625;-0.023907470703125
4;11190;142.424097640414;-1.448974609375;-0.0239044189453125
4;11191;142.436297640383;-1.446533203125;-0.023919677734375
4;11192;142.448497640352;-1.444091796875;-0.0239105224609375
4;11193;142.460697640321;-1.441650390625;-0.023895263671875
4;11194;142.472897640291;-1.4385986328125;-0.02392578125
4;11195;142.48509764026;-1.436767578125;-0.02391357421875
4;11196;142.497297640229;-1.43463134765625;-0.0238800048828125
4;11197;142.509497640198;-1.431884765625;-0.0238983154296875
4;11198;142.521697640167;-1.429443359375;-0.023907470703125
4;11199;142.533897640137;-1.427001953125;-0.02391357421875
4;11200;142.546097640106;-1.42425537109375;-0.023883056640625
4;11201;142.558297640075;-1.422119140625;-0.0238861083984375
4;11202;142.570497640044;-1.41937255859375;-0.02388916015625
4;11203;142.582697640013;-1.417236328125;-0.02388916015625
4;11204;142.594897639982;-1.414794921875;-0.0238677978515625
4;11205;142.607097639952;-1.4117431640625;-0.02386474609375
4;11206;142.619297639921;-1.4093017578125;-0.0238677978515625
4;11207;142.63149763989;-1.40716552734375;-0.023846435546875
4;11208;142.643697639859;-1.405029296875;-0.0238372802734375
4;11209;142.655897639828;-1.40289306640625;-0.0238555908203125
4;11210;142.668097639798;-1.39984130859375;-0.0238433837890625
4;11211;142.680297639767;-1.397705078125;-0.02381591796875
4;11212;142.692497639736;-1.39495849609375;-0.0238189697265625
4;11213;142.704697639705;-1.39251708984375;-0.0238250732421875
4;11214;142.716897639674;-1.39007568359375;-0.0238189697265625
4;11215;142.729097639644;-1.38763427734375;-0.02379150390625
4;11216;142.741297639613;-1.385498046875;-0.02376708984375
4;11217;142.753497639582;-1.38275146484375;-0.0237762451171875
4;11218;142.765697639551;-1.3800048828125;-0.02376708984375
4;11219;142.77789763952;-1.37786865234375;-0.023748779296875
4;11220;142.79009763949;-1.37451171875;-0.0237274169921875
4;11221;142.802297639459;-1.373291015625;-0.0237213134765625
4;11222;142.814497639428;-1.3702392578125;-0.023699951171875
4;11223;142.826697639397;-1.3677978515625;-0.023681640625
4;11224;142.838897639366;-1.3653564453125;-0.023681640625
4;11225;142.851097639336;-1.3629150390625;-0.0236572265625
4;11226;142.863297639305;-1.36077880859375;-0.023638916015625
4;11227;142.875497639274;-1.3580322265625;-0.0236175537109375
4;11228;142.887697639243;-1.3555908203125;-0.0236236572265625
4;11229;142.899897639212;-1.3531494140625;-0.0236053466796875
4;11230;142.912097639182;-1.3507080078125;-0.023583984375
4;11231;142.924297639151;-1.34796142578125;-0.023565673828125
4;11232;142.93649763912;-1.34613037109375;-0.0235626220703125
4;11233;142.948697639089;-1.34246826171875;-0.023541259765625
4;11234;142.960897639058;-1.34063720703125;-0.0235321044921875
4;11235;142.973097639028;-1.33819580078125;-0.0235321044921875
4;11236;142.985297638997;-1.3360595703125;-0.023516845703125
4;11237;142.997497638966;-1.33331298828125;-0.0234771728515625
4;11238;143.009697638935;-1.33056640625;-0.02347412109375
4;11239;143.021897638904;-1.32904052734375;-0.0234771728515625
4;11240;143.034097638874;-1.32598876953125;-0.023455810546875
4;11241;143.046297638843;-1.3232421875;-0.0234344482421875
4;11242;143.058497638812;-1.3214111328125;-0.0234130859375
4;11243;143.070697638781;-1.3189697265625;-0.02342529296875
4;11244;143.08289763875;-1.31561279296875;-0.0234161376953125
4;11245;143.09509763872;-1.3134765625;-0.0233856201171875
4;11246;143.107297638689;-1.31134033203125;-0.0233795166015625
4;11247;143.119497638658;-1.30859375;-0.0233734130859375
4;11248;143.131697638627;-1.30645751953125;-0.0233612060546875
4;11249;143.143897638596;-1.3037109375;-0.023345947265625
4;11250;143.156097638566;-1.30157470703125;-0.023358154296875
4;11251;143.168297638535;-1.29852294921875;-0.02333984375
4;11252;143.180497638504;-1.29638671875;-0.0233154296875
4;11253;143.192697638473;-1.2945556640625;-0.0233123779296875
4;11254;143.204897638442;-1.29150390625;-0.0233184814453125
4;11255;143.217097638412;-1.28936767578125;-0.0233154296875
4;11256;143.229297638381;-1.28662109375;-0.0232879638671875
4;11257;143.24149763835;-1.2841796875;-0.023297119140625
4;11258;143.253697638319;-1.28173828125;-0.0233001708984375
4;11259;143.265897638288;-1.27899169921875;-0.023297119140625
4;11260;143.278097638258;-1.27685546875;-0.0232757568359375
4;11261;143.290297638227;-1.27410888671875;-0.0232879638671875
4;11262;143.302497638196;-1.27197265625;-0.023284912109375
4;11263;143.314697638165;-1.26922607421875;-0.0232696533203125
4;11264;143.326897638134;-1.26708984375;-0.023284912109375
4;11265;143.339097638104;-1.26434326171875;-0.023297119140625
4;11266;143.351297638073;-1.26190185546875;-0.0232940673828125
4;11267;143.363497638042;-1.25946044921875;-0.023284912109375
4;11268;143.375697638011;-1.2567138671875;-0.023291015625
4;11269;143.38789763798;-1.25396728515625;-0.0232940673828125
4;11270;143.40009763795;-1.25213623046875;-0.0233001708984375
4;11271;143.412297637919;-1.24969482421875;-0.0232940673828125
4;11272;143.424497637888;-1.24725341796875;-0.0232940673828125
4;11273;143.436697637857;-1.2445068359375;-0.02330322265625
