Scan;Index;Time (s);WE(1).Potential (V);WE(1).Current (A)
4;6533;59.5524208496446;-0.3555908203125;0.0179107666015625
4;6534;59.5605508496241;-0.353179931640625;0.0182708740234375
4;6535;59.5686808496035;-0.350738525390625;0.0187744140625
4;6536;59.576810849583;-0.3482666015625;0.0191131591796875
4;6537;59.5849408495625;-0.3458251953125;0.0196136474609375
4;6538;59.593070849542;-0.343353271484375;0.019940185546875
4;6539;59.6012008495214;-0.340911865234375;0.02041015625
4;6540;59.6093308495009;-0.3385009765625;0.0207275390625
4;6541;59.6174608494804;-0.336090087890625;0.0211456298828125
4;6542;59.6255908494599;-0.33367919921875;0.0214569091796875
4;6543;59.6337208494393;-0.331207275390625;0.02186279296875
4;6544;59.6418508494188;-0.328704833984375;0.0221649169921875
4;6545;59.6499808493983;-0.326324462890625;0.0225189208984375
4;6546;59.6581108493777;-0.323883056640625;0.022821044921875
4;6547;59.6662408493572;-0.32147216796875;0.02318115234375
4;6548;59.6743708493367;-0.319000244140625;0.0234710693359375
4;6549;59.6825008493162;-0.316558837890625;0.0237335205078125
4;6550;59.6906308492956;-0.314117431640625;0.02406005859375
4;6551;59.6987608492751;-0.3116455078125;0.0243316650390625
4;6552;59.7068908492546;-0.309234619140625;0.0246124267578125
4;6553;59.7150208492341;-0.3067626953125;0.02479248046875
4;6554;59.7231508492135;-0.304351806640625;0.025128173828125
4;6555;59.731280849193;-0.30194091796875;0.025274658203125
4;6556;59.7394108491725;-0.299468994140625;0.025555419921875
4;6557;59.747540849152;-0.2969970703125;0.0256744384765625
4;6558;59.7556708491314;-0.2945556640625;0.025946044921875
4;6559;59.7638008491109;-0.292144775390625;0.0260345458984375
4;6560;59.7719308490904;-0.2896728515625;0.026251220703125
4;6561;59.7800608490699;-0.287261962890625;0.0264068603515625
4;6562;59.7881908490493;-0.2847900390625;0.0265411376953125
4;6563;59.7963208490288;-0.282379150390625;0.0266387939453125
4;6564;59.8044508490083;-0.27996826171875;0.0267974853515625
4;6565;59.8125808489877;-0.27752685546875;0.0268951416015625
4;6566;59.8207108489672;-0.2750244140625;0.027001953125
4;6567;59.8288408489467;-0.27264404296875;0.0271087646484375
4;6568;59.8369708489262;-0.270172119140625;0.0271728515625
4;6569;59.8451008489056;-0.26776123046875;0.02723388671875
4;6570;59.8532308488851;-0.265289306640625;0.0273406982421875
4;6571;59.8613608488646;-0.262847900390625;0.0273223876953125
4;6572;59.8694908488441;-0.260406494140625;0.0274139404296875
4;6573;59.8776208488235;-0.25799560546875;0.027410888671875
4;6574;59.885750848803;-0.255584716796875;0.027490234375
4;6575;59.8938808487825;-0.253143310546875;0.0274383544921875
4;6576;59.902010848762;-0.250640869140625;0.0275054931640625
4;6577;59.9101408487414;-0.248260498046875;0.027447509765625
4;6578;59.9182708487209;-0.2457275390625;0.0274658203125
4;6579;59.9264008487004;-0.243408203125;0.027392578125
4;6580;59.9345308486799;-0.24090576171875;0.027423095703125
4;6581;59.9426608486593;-0.23846435546875;0.0273345947265625
4;6582;59.9507908486388;-0.235992431640625;0.0273223876953125
4;6583;59.9589208486183;-0.233612060546875;0.02723388671875
4;6584;59.9670508485978;-0.23114013671875;0.027197265625
4;6585;59.9751808485772;-0.228668212890625;0.0271148681640625
4;6586;59.9833108485567;-0.22625732421875;0.02705078125
