,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,E / V,e / (A s-1/2)
362,,,,,,,,-0.123596,0.000570343
363,,,,,,,,-0.122528,0.000577713
364,,,,,,,,-0.121429,0.000587767
365,,,,,,,,-0.120361,0.000597865
366,,,,,,,,-0.119263,0.000603127
367,,,,,,,,-0.118225,0.000607532
368,,,,,,,,-0.117157,0.000617935
369,,,,,,,,-0.116089,0.000631222
370,,,,,,,,-0.11499,0.000640557
371,,,,,,,,-0.113922,0.000645926
372,,,,,,,,-0.112854,0.000654927
373,,,,,,,,-0.111786,0.000666236
374,,,,,,,,-0.110718,0.000670705
375,,,,,,,,-0.10968,0.000675643
376,,,,,,,,-0.108612,0.000689781
377,,,,,,,,-0.107574,0.00070378
378,,,,,,,,-0.106506,0.000709746
379,,,,,,,,-0.105347,0.000713499
380,,,,,,,,-0.10434,0.000727142
381,,,,,,,,-0.103302,0.000742412
382,,,,,,,,-0.102264,0.000747688
383,,,,,,,,-0.101196,0.000754856
384,,,,,,,,-0.100067,0.000769472
385,,,,,,,,-0.0990295,0.000781437
386,,,,,,,,-0.0979614,0.000786591
387,,,,,,,,-0.0969238,0.000793212
388,,,,,,,,-0.0957947,0.00081023
389,,,,,,,,-0.0947571,0.00082118
390,,,,,,,,-0.09375,0.000826406
391,,,,,,,,-0.0926208,0.000850763
392,,,,,,,,-0.0915222,0.000869135
393,,,,,,,,-0.0904846,0.000863276
394,,,,,,,,-0.0894165,0.000868436
395,,,,,,,,-0.0884094,0.000889492
396,,,,,,,,-0.0872803,0.000890903
397,,,,,,,,-0.0862122,0.000887321
398,,,,,,,,-0.0851746,0.00090495
399,,,,,,,,-0.084198,0.000933503
400,,,,,,,,-0.0830383,0.000947308
401,,,,,,,,-0.0819702,0.000947454
402,,,,,,,,-0.0808716,0.000964322
403,,,,,,,,-0.0798645,0.000983765
404,,,,,,,,-0.0787354,0.000983679
405,,,,,,,,-0.0776672,0.000992695
406,,,,,,,,-0.0766296,0.00100884
407,,,,,,,,-0.075531,0.00101758
408,,,,,,,,-0.0744934,0.00103563
409,,,,,,,,-0.0734558,0.00105233
410,,,,,,,,-0.0723572,0.00105825
411,,,,,,,,-0.0713501,0.00106528
412,,,,,,,,-0.0702515,0.00108499
413,,,,,,,,-0.0691528,0.00110292
414,,,,,,,,-0.0680847,0.00110776
415,,,,,,,,-0.0670166,0.00111892
416,,,,,,,,-0.065979,0.00114137
417,,,,,,,,-0.0649109,0.00115595
418,,,,,,,,-0.0638733,0.00116234
419,,,,,,,,-0.0628052,0.00117129
420,,,,,,,,-0.0617065,0.0011889
421,,,,,,,,-0.0606995,0.00120388
422,,,,,,,,-0.0595398,0.0012095
423,,,,,,,,-0.0585327,0.00122126
424,,,,,,,,-0.0574646,0.00124253
425,,,,,,,,-0.0563354,0.00125855
426,,,,,,,,-0.0552673,0.0012676
427,,,,,,,,-0.0542603,0.00127787
428,,,,,,,,-0.0531921,0.00129486
429,,,,,,,,-0.0520935,0.00131181
430,,,,,,,,-0.0509949,0.00131872
431,,,,,,,,-0.0500488,0.00132707
432,,,,,,,,-0.0488892,0.00134741
433,,,,,,,,-0.0478058,0.0013681
434,,,,,,,,-0.0467468,0.00137589
435,,,,,,,,-0.0457062,0.00138675
436,,,,,,,,-0.0446411,0.00140385
437,,,,,,,,-0.0435425,0.00143799
438,,,,,,,,-0.0424988,0.0014594
439,,,,,,,,-0.0414581,0.00144398
440,,,,,,,,-0.0403778,0.00146286
441,,,,,,,,-0.0392914,0.00149466
442,,,,,,,,-0.0382141,0.00149622
443,,,,,,,,-0.0371704,0.00150518
444,,,,,,,,-0.0361023,0.00152563
445,,,,,,,,-0.0350006,0.00155618
446,,,,,,,,-0.0339417,0.00156133
447,,,,,,,,-0.0328949,0.0015459
448,,,,,,,,-0.0318298,0.00157593
449,,,,,,,,-0.0307251,0.00160234
450,,,,,,,,-0.0296906,0.00160331
451,,,,,,,,-0.028653,0.00162084
452,,,,,,,,-0.0275787,0.00164434
453,,,,,,,,-0.0264771,0.00165792
454,,,,,,,,-0.0254303,0.00166484
455,,,,,,,,-0.0243958,0.00168242
456,,,,,,,,-0.0233063,0.00170807
457,,,,,,,,-0.0222229,0.00172292
458,,,,,,,,-0.021167,0.00173022
459,,,,,,,,-0.0201233,0.00174529
460,,,,,,,,-0.0190704,0.00176486
461,,,,,,,,-0.0179535,0.00177854
462,,,,,,,,-0.0169037,0.00178528
463,,,,,,,,-0.0158447,0.00179858
464,,,,,,,,-0.0147888,0.00182312
465,,,,,,,,-0.0136841,0.00184102
466,,,,,,,,-0.012619,0.00184927
467,,,,,,,,-0.0115906,0.00186061
468,,,,,,,,-0.0105042,0.00188246
469,,,,,,,,-0.00942993,0.00189938
470,,,,,,,,-0.00838013,0.00190448
471,,,,,,,,-0.00732422,0.00191777
472,,,,,,,,-0.00628052,0.00194426
473,,,,,,,,-0.00518799,0.00196194
474,,,,,,,,-0.00409851,0.00196419
475,,,,,,,,-0.00308228,0.00197396
476,,,,,,,,-0.00202026,0.00200107
477,,,,,,,,-0.00090332,0.00202055
