,Potential applied / V,Time / s,WE(1).Current / A,WE(1).Potential / V,Scan,Index,e / (A/s1/2),BaseLine / (A s-1/2),Fcurve / (A/s1/2),Ecurve / (A/s1/2),Dcurve / (A/s1/2),e Reconstructed / (A/s1/2)
46,-0.6494140625,236.053558404022,-0.00258483886718749,-0.64825439453125,3,10782,-0.000590244,-0.0004120255217768473,-46.8735309617785,-3.2590637022165165e-05,-5.449212461889904e-09,-46.8739755833865
47,-0.650482177734375,236.074920403968,-0.0025787353515625,-0.649322509765625,3,10783,-0.000596756,-0.00041955221725192837,-44.48159238985161,-3.372173382059739e-05,-5.642745372125535e-09,-44.482045669445434
48,-0.65155029296875,236.096282403914,-0.00258789062500001,-0.650360107421875,3,10784,-0.000596205,-0.00042686386126484805,-42.27493178292816,-3.485802850650759e-05,-5.8373281757802625e-09,-42.275393510655256
49,-0.652618408203125,236.11764440386,-0.0025787353515625,-0.6514892578125,3,10785,-0.000532999,-0.0004348206596642562,-39.99776322119116,-3.613805988351215e-05,-6.056712118221449e-09,-39.99823418596741
50,-0.6536865234375,236.139006403806,-0.00257263183593751,-0.652557373046875,3,10786,-0.000481047,-0.000442347355139339,-37.956692478780305,-3.739205647728005e-05,-6.271820827840736e-09,-37.95717222446374
51,-0.654754638671875,236.160368403752,-0.00255737304687501,-0.653533935546875,3,10787,-0.000438765,-0.0004492289103213481,-36.18185047421286,-3.857654079060163e-05,-6.4751706353943916e-09,-36.182338286139135
52,-0.65582275390625,236.181730403698,-0.00255432128906249,-0.65472412109375,3,10788,-0.000606998,-0.00045761579755166596,-34.130585639110365,-4.007088049274856e-05,-6.731938189616075e-09,-34.13108333252035
53,-0.656890869140625,236.203092403645,-0.00258483886718749,-0.655792236328125,3,10789,-0.000727303,-0.00046514249302674875,-32.38891475156362,-4.146107890437648e-05,-6.971028049655977e-09,-32.38942136210658
54,-0.657958984375,236.224454403591,-0.002593994140625,-0.656829833984375,3,10790,-0.000670301,-0.0004724541440863754,-30.782151018805596,-4.285763284891064e-05,-7.211415178035055e-09,-30.78266633779395
55,-0.659027099609375,236.245816403537,-0.002593994140625,-0.657867431640625,3,10791,-0.00060041,-0.0004797657951460038,-29.255096338132333,-4.430112896695615e-05,-7.460091748814573e-09,-29.255620412516535
