Time (s);WE(1).Potential (V);Corrected time (s);Index;WE(1).Current (A);Current range;Cutoffs
268.881669321139;-0.31585693359375;0.229999999419306;24;-0.045001220703125;100 mA;
268.891669321114;-0.3189697265625;0.239999999394058;25;-0.0449981689453125;100 mA;
268.901669321089;-0.321990966796875;0.249999999368811;26;-0.0449981689453125;100 mA;
268.911669321063;-0.324951171875;0.259999999343563;27;-0.0449981689453125;100 mA;
268.921669321038;-0.32781982421875;0.269999999318316;28;-0.0449981689453125;100 mA;
268.931669321013;-0.330596923828125;0.279999999293068;29;-0.045001220703125;100 mA;
268.941669320988;-0.3333740234375;0.28999999926782;30;-0.045001220703125;100 mA;
268.951669320962;-0.336029052734375;0.299999999242573;31;-0.045001220703125;100 mA;
268.961669320937;-0.338653564453125;0.309999999217325;32;-0.045001220703125;100 mA;
268.971669320912;-0.341217041015625;0.319999999192078;33;-0.045001220703125;100 mA;
268.981669320887;-0.34375;0.32999999916683;34;-0.0449981689453125;100 mA;
268.991669320861;-0.346221923828125;0.339999999141583;35;-0.045001220703125;100 mA;
269.001669320836;-0.3486328125;0.349999999116335;36;-0.045001220703125;100 mA;
269.011669320811;-0.35101318359375;0.359999999091087;37;-0.045001220703125;100 mA;
269.021669320786;-0.353363037109375;0.36999999906584;38;-0.0450042724609375;100 mA;
269.03166932076;-0.355682373046875;0.379999999040592;39;-0.0450042724609375;100 mA;
269.041669320735;-0.357940673828125;0.389999999015345;40;-0.0449951171875;100 mA;
269.05166932071;-0.36016845703125;0.399999998990097;41;-0.0450042724609375;100 mA;
269.061669320685;-0.36236572265625;0.40999999896485;42;-0.0449981689453125;100 mA;
269.071669320659;-0.36456298828125;0.419999998939602;43;-0.0449981689453125;100 mA;
269.081669320634;-0.36669921875;0.429999998914354;44;-0.0449951171875;100 mA;
269.091669320609;-0.368804931640625;0.439999998889107;45;-0.0449981689453125;100 mA;
269.101669320584;-0.37091064453125;0.449999998863859;46;-0.0449981689453125;100 mA;
269.111669320558;-0.37298583984375;0.459999998838612;47;-0.0450042724609375;100 mA;
269.121669320533;-0.375030517578125;0.469999998813364;48;-0.045001220703125;100 mA;
269.131669320508;-0.377044677734375;0.479999998788116;49;-0.0449981689453125;100 mA;
269.141669320483;-0.379058837890625;0.489999998762869;50;-0.045001220703125;100 mA;
269.151669320457;-0.38104248046875;0.499999998737621;51;-0.0449981689453125;100 mA;
269.161669320432;-0.383026123046875;0.509999998712374;52;-0.045001220703125;100 mA;
269.171669320407;-0.384979248046875;0.519999998687126;53;-0.0449981689453125;100 mA;
269.181669320382;-0.38690185546875;0.529999998661879;54;-0.0449951171875;100 mA;
269.191669320356;-0.388824462890625;0.539999998636631;55;-0.045001220703125;100 mA;
269.201669320331;-0.390716552734375;0.549999998611383;56;-0.045001220703125;100 mA;
269.211669320306;-0.392608642578125;0.559999998586136;57;-0.0449981689453125;100 mA;
269.221669320281;-0.394500732421875;0.569999998560888;58;-0.0449981689453125;100 mA;
269.231669320255;-0.3963623046875;0.579999998535641;59;-0.045001220703125;100 mA;
269.24166932023;-0.398223876953125;0.589999998510393;60;-0.0449981689453125;100 mA;
269.251669320205;-0.40008544921875;0.599999998485146;61;-0.0450042724609375;100 mA;
269.26166932018;-0.40191650390625;0.609999998459898;62;-0.0449981689453125;100 mA;
269.271669320154;-0.40374755859375;0.61999999843465;63;-0.045001220703125;100 mA;
269.281669320129;-0.405548095703125;0.629999998409403;64;-0.0450042724609375;100 mA;
269.291669320104;-0.407379150390625;0.639999998384155;65;-0.045001220703125;100 mA;
269.301669320079;-0.4091796875;0.649999998358908;66;-0.045001220703125;100 mA;
269.311669320053;-0.410980224609375;0.65999999833366;67;-0.0449981689453125;100 mA;
269.321669320028;-0.41278076171875;0.669999998308413;68;-0.0449981689453125;100 mA;
269.331669320003;-0.41455078125;0.679999998283165;69;-0.045001220703125;100 mA;
269.341669319978;-0.416351318359375;0.689999998257917;70;-0.0449951171875;100 mA;
269.351669319952;-0.418121337890625;0.69999999823267;71;-0.045001220703125;100 mA;
269.361669319927;-0.419891357421875;0.709999998207422;72;-0.0449951171875;100 mA;
269.371669319902;-0.42169189453125;0.719999998182175;73;-0.045001220703125;100 mA;
269.381669319877;-0.423431396484375;0.729999998156927;74;-0.045001220703125;100 mA;
269.391669319851;-0.425201416015625;0.73999999813168;75;-0.045001220703125;100 mA;
269.401669319826;-0.426971435546875;0.749999998106432;76;-0.0449981689453125;100 mA;
269.411669319801;-0.428741455078125;0.759999998081184;77;-0.0450042724609375;100 mA;
269.421669319776;-0.430511474609375;0.769999998055937;78;-0.0450042724609375;100 mA;
269.43166931975;-0.4322509765625;0.779999998030689;79;-0.0449981689453125;100 mA;
269.441669319725;-0.434051513671875;0.789999998005442;80;-0.0450042724609375;100 mA;
269.4516693197;-0.435791015625;0.799999997980194;81;-0.0449951171875;100 mA;
269.461669319675;-0.43756103515625;0.809999997954947;82;-0.0450042724609375;100 mA;
269.471669319649;-0.439361572265625;0.819999997929699;83;-0.0449981689453125;100 mA;
269.481669319624;-0.44110107421875;0.829999997904451;84;-0.045001220703125;100 mA;
269.491669319599;-0.442901611328125;0.839999997879204;85;-0.0450042724609375;100 mA;
269.501669319574;-0.444671630859375;0.849999997853956;86;-0.0450042724609375;100 mA;
269.511669319548;-0.446441650390625;0.859999997828709;87;-0.0449981689453125;100 mA;
269.521669319523;-0.4482421875;0.869999997803461;88;-0.0450042724609375;100 mA;
269.531669319498;-0.450042724609375;0.879999997778214;89;-0.0449981689453125;100 mA;
269.541669319473;-0.45184326171875;0.889999997752966;90;-0.045001220703125;100 mA;
269.551669319447;-0.45361328125;0.899999997727718;91;-0.0449981689453125;100 mA;
269.561669319422;-0.4554443359375;0.909999997702471;92;-0.0449981689453125;100 mA;
269.571669319397;-0.457244873046875;0.919999997677223;93;-0.0449981689453125;100 mA;
269.581669319372;-0.459075927734375;0.929999997651976;94;-0.0449981689453125;100 mA;
269.591669319346;-0.460906982421875;0.939999997626728;95;-0.0449981689453125;100 mA;
269.601669319321;-0.462738037109375;0.949999997601481;96;-0.0449981689453125;100 mA;
269.611669319296;-0.464599609375;0.959999997576233;97;-0.0449951171875;100 mA;
269.621669319271;-0.466461181640625;0.969999997550985;98;-0.045001220703125;100 mA;
269.631669319245;-0.46832275390625;0.979999997525738;99;-0.0449951171875;100 mA;
269.64166931922;-0.47021484375;0.98999999750049;100;-0.0449951171875;100 mA;
269.651669319195;-0.47210693359375;0.999999997475243;101;-0.0449951171875;100 mA;
269.66166931917;-0.4739990234375;1.00999999745;102;-0.0449981689453125;100 mA;
269.671669319144;-0.475921630859375;1.01999999742475;103;-0.0449951171875;100 mA;
269.681669319119;-0.47784423828125;1.0299999973995;104;-0.045001220703125;100 mA;
269.691669319094;-0.47979736328125;1.03999999737425;105;-0.0449981689453125;100 mA;
269.701669319069;-0.481781005859375;1.049999997349;106;-0.045001220703125;100 mA;
269.711669319043;-0.483734130859375;1.05999999732376;107;-0.0449981689453125;100 mA;
269.721669319018;-0.4857177734375;1.06999999729851;108;-0.0449951171875;100 mA;
269.731669318993;-0.48773193359375;1.07999999727326;109;-0.045001220703125;100 mA;
269.741669318968;-0.489776611328125;1.08999999724801;110;-0.0449981689453125;100 mA;
269.751669318943;-0.4918212890625;1.09999999722277;111;-0.0449981689453125;100 mA;
269.761669318917;-0.493865966796875;1.10999999719752;112;-0.0449981689453125;100 mA;
269.771669318892;-0.4959716796875;1.11999999717227;113;-0.0449981689453125;100 mA;
