Figure 4 Data,,,,,,
Exp 1,,Exp 3,,Exp 6 (10/11),,
300 mV/s,,300 mV/s,,300 mV/s,,
Adjusted Potential (WE Potential - 0.9 V),Current Density (mA/cm^2),Adjusted Potential (WE Potential - 0.9 V),Current Density (mA/cm^2),Adjusted Potential (WE Potential - 0.9 V),Current Density (mA/cm^2),
-0.319017,-2.33376792,-0.299042,-1.01095581,-0.199786,1.803666021,
-0.320024,-2.33376792,-0.300049,-1.045224832,-0.198718,1.803666021,
-0.321093,-2.368029082,-0.301178,-1.058932666,-0.19765,1.842597185,
-0.322222,-2.350904116,-0.302216,-1.048652071,-0.196613,1.894501152,
-0.32329,-2.357754102,-0.303345,-1.01095581,-0.195544,1.907473954,
-0.324297,-2.39887648,-0.304413,-1.062359905,-0.194446,1.933428063,
-0.325396,-2.416012676,-0.30545,-1.058932666,-0.193347,1.998309084,
-0.326403,-2.405726467,-0.306549,-1.031516999,-0.192279,1.881524097,
-0.327532,-2.39887648,-0.307556,-1.055505427,-0.191302,1.98533203,
-0.328569,-2.446860074,-0.308594,-1.072640499,-0.190204,2.128066874,
-0.329698,-2.419437669,-0.309723,-1.024663643,-0.189166,2.115094072,
-0.330797,-2.412587682,-0.310791,-1.02808976,-0.188037,2.115094072,
-0.331835,-2.446860074,-0.311859,-1.100056166,-0.186969,2.166998038,
-0.332872,-2.436573864,-0.312958,-1.079494978,-0.18587,2.244851862,
-0.33394,-2.426287655,-0.313995,-1.041797593,-0.184802,2.257828916,
-0.334948,-2.487982451,-0.315094,-1.089775572,-0.183734,2.192947895,
-0.336046,-2.501682424,-0.316101,-1.106910645,-0.182635,2.348659795,
-0.337145,-2.460560046,-0.31723,-1.065787144,-0.181628,2.322709937,
-0.338121,-2.457135053,-0.318237,-1.086348333,-0.18056,2.361636849,
-0.33922,-2.525679836,-0.319336,-1.117191239,-0.179523,2.452467727,
-0.340319,-2.50854364,-0.320435,-1.100056166,-0.178394,2.569252715,
-0.341387,-2.51881862,-0.321442,-1.076067738,-0.177356,2.517348748,
-0.342455,-2.529104829,-0.32251,-1.120618478,-0.176318,2.634133736,
-0.343462,-2.532529822,-0.323578,-1.106910645,-0.175281,2.750918723,
-0.344622,-2.539379808,-0.324646,-1.086348333,-0.174182,2.763891526,
-0.34572,-2.539379808,-0.325653,-1.089775572,-0.173083,2.841749601,
-0.346697,-2.594213388,-0.326782,-1.144610275,-0.171985,2.984484446,
-0.347856,-2.566802213,-0.327881,-1.124049086,-0.170917,3.02341561,
-0.348864,-2.546241024,-0.328949,-1.09663005,-0.169971,3.127223543,
-0.349901,-2.601063375,-0.330017,-1.148035268,-0.168842,3.205077366,
-0.351,-2.611349584,-0.331055,-1.144610275,-0.167712,3.308885299,
-0.352098,-2.601063375,-0.332123,-1.113764,-0.166705,3.334839408,
-0.353167,-2.590788395,-0.333191,-1.141185282,-0.165607,3.399720429,
-0.354204,-2.642196982,-0.334229,-1.154885254,-0.164508,3.529478219,
-0.355242,-2.61819957,-0.335297,-1.127474079,-0.16344,3.59435924,
-0.356279,-2.62848578,-0.336365,-1.130899072,-0.162402,3.607336295,
-0.357378,-2.67303315,-0.337463,-1.178871436,-0.161395,3.788998051,
-0.358416,-2.655896955,-0.338501,-1.16174647,-0.160297,3.853879072,
-0.359514,-2.638760759,-0.3396,-1.148035268,-0.159198,3.853879072,
-0.360582,-2.697019332,-0.340637,-1.158310248,-0.158099,3.97066406,
-0.36165,-2.68331936,-0.341736,-1.192582639,-0.157092,4.139353013,
-0.362719,-2.676458144,-0.342804,-1.165171464,-0.155994,4.087449047,
-0.363848,-2.666183164,-0.343842,-1.16174647,-0.154926,4.19125698,
-0.364885,-2.731291724,-0.344879,-1.196007632,-0.153857,4.308024959,
-0.365892,-2.703880548,-0.345978,-1.196007632,-0.15282,4.437795505,
-0.366991,-2.679883137,-0.347076,-1.168596457,-0.151721,4.476743677,
-0.367998,-2.734716717,-0.348145,-1.220005044,-0.150745,4.528617879,
-0.369066,-2.768989108,-0.349182,-1.220005044,-0.149585,4.671356976,
-0.370195,-2.741577933,-0.35022,-1.178871436,-0.150623,4.009590971,
-0.371294,-2.751852912,-0.351349,-1.216568821,-0.151752,3.607336295,
-0.372362,-2.772414101,-0.352417,-1.257702428,-0.15285,3.321862354,
-0.373339,-2.78270031,-0.353455,-1.220005044,-0.153857,3.062342522,
