"Figure 2 data (WE Area: 1.04 cm^2, scan rate: 0.3 V/s)",
Potential (V),Current Density (mA/cm^3)
-0.63327,-3.737598556
-0.634308,-3.793556178
-0.635468,-3.749382663
-0.636505,-3.711086726
-0.637543,-3.767053999
-0.638672,-3.775884842
-0.63974,-3.731711327
-0.640839,-3.749382663
-0.641846,-3.781781721
-0.643005,-3.767053999
-0.644012,-3.752326278
-0.64505,-3.814180779
-0.646088,-3.805340286
-0.647247,-3.752326278
-0.648224,-3.799453057
-0.649384,-3.820068007
-0.650452,-3.799453057
-0.65152,-3.78766895
-0.652557,-3.825955236
-0.653595,-3.802396671
-0.654724,-3.775884842
-0.655731,-3.799453057
-0.656799,-3.814180779
-0.657806,-3.802396671
-0.658997,-3.823011622
-0.659943,-3.840682958
-0.661194,-3.828908501
-0.66214,-3.825955236
-0.663239,-3.884866123
-0.664337,-3.893696966
-0.665436,-3.834795729
-0.666473,-3.873082015
-0.667511,-3.917265181
-0.66861,-3.914321567
-0.669647,-3.884866123
-0.670746,-3.94376736
-0.671875,-3.920208795
-0.672852,-3.961438696
-0.67392,-3.94376736
-0.674988,-3.952607853
-0.676117,-3.931992903
-0.677094,-3.937880131
-0.678223,-3.973222803
-0.67926,-3.985006911
-0.680298,-3.94376736
-0.681335,-4.008565475
-0.682434,-4.014462355
-0.683563,-3.985006911
-0.68454,-4.002678247
-0.685669,-4.032133691
-0.686768,-4.017405969
-0.687836,-4.011509089
-0.688873,-4.052748641
-0.689941,-4.064532749
-0.69104,-4.023293197
-0.692078,-4.067476363
-0.693146,-4.093978541
-0.694275,-4.076307205
-0.695282,-4.064532749
-0.69635,-4.135218093
-0.697479,-4.117546757
-0.698517,-4.099875421
-0.699524,-4.120490371
-0.700623,-4.149945815
-0.701813,-4.117546757
-0.70282,-4.129321213
-0.703796,-4.173504379
-0.704987,-4.182344872
-0.705963,-4.170560765
-0.707092,-4.211790665
-0.708099,-4.226518387
-0.709198,-4.220631159
-0.710266,-4.220631159
-0.711304,-4.258917445
-0.712433,-4.258917445
-0.71344,-4.241246109
-0.714539,-4.279532395
-0.715576,-4.308987839
-0.716675,-4.300156996
-0.717743,-4.320771946
-0.71875,-4.326659175
-0.719849,-4.317828332
-0.720947,-4.329602789
-0.722015,-4.373785955
-0.723083,-4.385570062
-0.724152,-4.364955112
-0.72522,-4.412072241
-0.726318,-4.465086249
-0.727356,-4.423856348
-0.728394,-4.435640456
-0.729462,-4.482767236
-0.73056,-4.491598078
-0.731628,-4.45919902
-0.732666,-4.5063258
-0.733734,-4.538724858
