Figure 13 data,,,,,,,
Voltammogram (top),,Residual gas analyzer data (bottom),,,,,
,,-0.5 V,,-0.8 V,,-0.9 V,
Potential (V),Current (A),Time (s),2 AMU signal intensity,Time (s),2 AMU signal intensity,Time (s),2 AMU signal intensity
0.253143,0.00463745,36.425,2.34E+00,36.381,2.12E+00,36.542,1.87E+00
0.255585,0.00462402,36.74,2.51E+00,36.696,2.22E+00,36.857,2.03E+00
0.258026,0.00460052,37.056,2.51E+00,37.012,2.10E+00,37.173,2.26E+00
0.260468,0.00461365,37.372,2.35E+00,37.327,2.08E+00,37.489,2.22E+00
0.262909,0.00462585,37.687,2.37E+00,37.643,2.13E+00,37.804,2.33E+00
0.26535,0.00460602,38.003,2.21E+00,37.959,2.10E+00,38.12,2.42E+00
0.267792,0.00459106,38.318,2.18E+00,38.274,2.46E+00,38.435,2.38E+00
0.270233,0.00460999,38.634,2.01E+00,38.59,2.30E+00,38.751,2.47E+00
0.272675,0.00462006,38.95,2.07E+00,38.905,2.49E+00,39.067,2.20E+00
0.275116,0.00459717,39.265,2.13E+00,39.221,2.46E+00,39.382,2.36E+00
0.277557,0.00459412,39.581,2.04E+00,39.537,2.39E+00,39.698,1.88E+00
0.279999,0.00461945,39.896,2.22E+00,39.852,2.37E+00,40.013,2.02E+00
0.28244,0.00462189,40.212,2.39E+00,40.168,2.42E+00,40.329,2.05E+00
0.284882,0.004599,40.528,2.43E+00,40.483,2.14E+00,40.645,1.92E+00
0.287323,0.00461029,40.843,2.48E+00,40.799,2.27E+00,40.96,1.93E+00
0.289764,0.00463287,41.159,2.47E+00,41.115,2.14E+00,41.276,2.22E+00
0.292206,0.00462524,41.474,2.37E+00,41.43,2.15E+00,41.591,2.31E+00
0.294647,0.00461182,41.79,2.18E+00,41.746,2.12E+00,41.907,2.51E+00
0.297089,0.00463348,42.106,2.14E+00,42.061,2.23E+00,42.223,2.36E+00
0.29953,0.0046402,42.421,2.10E+00,42.377,2.48E+00,42.538,2.35E+00
0.301971,0.00464661,42.737,2.01E+00,42.693,2.57E+00,42.854,2.26E+00
