Figure 13 data,,,,,,,
Voltammogram (top),,Residual gas analyzer data (bottom),,,,,
,,-0.5 V,,-0.8 V,,-0.9 V,
Potential (V),Current (A),Time (s),2 AMU signal intensity,Time (s),2 AMU signal intensity,Time (s),2 AMU signal intensity
0.536346,-0.00918274,192.962,2.66E+00,192.918,3.06E+00,193.079,2.92E+00
0.533905,-0.00909119,193.278,2.38E+00,193.234,3.00E+00,193.395,2.96E+00
0.531464,-0.009021,193.594,2.52E+00,193.549,3.19E+00,193.711,2.80E+00
0.529022,-0.00895691,193.909,2.45E+00,193.865,3.05E+00,194.026,2.95E+00
0.526581,-0.0088562,194.225,2.59E+00,194.181,2.76E+00,194.342,2.97E+00
0.524139,-0.00876465,194.54,2.32E+00,194.496,2.72E+00,194.657,2.71E+00
0.521698,-0.00869446,194.856,2.57E+00,194.812,2.71E+00,194.973,2.57E+00
0.519257,-0.00862122,195.172,2.79E+00,195.127,2.56E+00,195.289,2.53E+00
0.516815,-0.00852356,195.487,2.57E+00,195.443,2.49E+00,195.604,2.61E+00
0.514374,-0.00844116,195.803,2.67E+00,195.759,2.44E+00,195.92,2.40E+00
0.511932,-0.00836792,196.118,2.74E+00,196.074,2.60E+00,196.235,2.80E+00
0.509491,-0.00827942,196.434,2.75E+00,196.39,2.79E+00,196.551,2.99E+00
0.50705,-0.00818176,196.75,2.85E+00,196.705,2.52E+00,196.867,3.00E+00
0.504608,-0.00811462,197.065,2.61E+00,197.021,2.99E+00,197.182,2.75E+00
0.502167,-0.0080719,197.381,2.56E+00,197.337,2.98E+00,197.498,2.99E+00
0.499725,-0.00797729,197.696,2.58E+00,197.652,3.03E+00,197.813,2.99E+00
0.497284,-0.00788269,198.012,2.60E+00,197.968,2.91E+00,198.129,2.86E+00
0.494843,-0.00782166,198.328,2.51E+00,198.283,2.95E+00,198.445,2.83E+00
0.492401,-0.00776672,198.643,2.53E+00,198.599,2.77E+00,198.76,2.53E+00
0.48996,-0.00767212,198.959,2.57E+00,198.915,2.66E+00,199.076,2.64E+00
0.487518,-0.00758667,199.274,2.45E+00,199.23,2.65E+00,199.391,2.37E+00
0.485077,-0.00753784,199.59,2.65E+00,199.546,2.51E+00,199.707,2.61E+00
0.482635,-0.00747375,199.906,2.81E+00,199.861,2.55E+00,200.023,2.72E+00
0.480194,-0.00737915,200.221,2.76E+00,200.177,2.66E+00,200.338,2.76E+00
0.477753,-0.00729065,200.537,2.64E+00,200.493,2.87E+00,200.654,2.68E+00
0.475311,-0.00724182,200.852,2.73E+00,200.808,3.02E+00,200.969,2.83E+00
0.47287,-0.00716248,201.168,2.57E+00,201.124,3.01E+00,201.285,2.90E+00
0.470428,-0.00708618,201.484,2.43E+00,201.439,2.96E+00,201.601,3.04E+00
0.467987,-0.00701294,201.799,2.24E+00,201.755,3.03E+00,201.916,3.77E+00
0.465546,-0.0069458,202.115,2.59E+00,202.071,2.80E+00,202.232,2.86E+00
0.463104,-0.00689087,202.43,2.32E+00,202.386,2.64E+00,202.547,2.64E+00
0.460663,-0.00682678,202.746,2.67E+00,202.702,2.60E+00,202.863,2.55E+00
0.458221,-0.00676575,203.062,2.67E+00,203.017,2.76E+00,203.179,2.34E+00
0.45578,-0.00670776,203.377,2.76E+00,203.333,2.55E+00,203.494,2.49E+00
0.453339,-0.00664978,203.693,2.93E+00,203.649,2.62E+00,203.81,2.61E+00
0.450897,-0.00658569,204.008,2.99E+00,203.964,2.73E+00,204.125,2.55E+00
0.448456,-0.00651855,204.324,3.02E+00,204.28,2.83E+00,204.441,2.84E+00
0.446014,-0.00646973,204.64,2.91E+00,204.595,2.89E+00,204.757,2.89E+00
0.443573,-0.00641174,204.955,2.66E+00,204.911,3.12E+00,205.072,3.02E+00
0.441132,-0.00635376,205.271,2.71E+00,205.227,3.17E+00,205.388,2.71E+00
0.43869,-0.00630493,205.586,2.52E+00,205.542,2.98E+00,205.703,2.82E+00
0.436249,-0.0062561,205.902,2.30E+00,205.858,2.92E+00,206.019,2.76E+00
0.433807,-0.00620728,206.218,2.25E+00,206.173,2.95E+00,206.335,2.73E+00
0.431366,-0.0061554,206.533,2.57E+00,206.489,2.67E+00,206.65,2.48E+00
0.428925,-0.00610962,206.849,2.47E+00,206.805,2.55E+00,206.966,2.58E+00
0.426483,-0.00606995,207.164,2.58E+00,207.12,2.48E+00,207.281,2.74E+00
0.424042,-0.00602112,207.48,2.75E+00,207.436,2.60E+00,207.597,2.64E+00
0.4216,-0.00596008,207.796,3.06E+00,207.751,2.58E+00,207.913,2.65E+00
0.419159,-0.00591431,208.111,2.79E+00,208.067,2.88E+00,208.228,2.85E+00
0.416718,-0.00586853,208.427,2.88E+00,208.383,2.84E+00,208.544,2.88E+00
0.414276,-0.00582275,208.742,2.58E+00,208.698,3.05E+00,208.859,2.97E+00
0.411835,-0.00578003,209.058,2.60E+00,209.014,3.06E+00,209.175,2.83E+00
0.409393,-0.00573425,209.374,2.34E+00,209.329,3.07E+00,209.491,3.02E+00
0.406952,-0.00568848,209.689,2.61E+00,209.645,2.99E+00,209.806,3.03E+00
0.40451,-0.00565186,210.005,2.38E+00,209.961,2.75E+00,210.122,2.90E+00
0.402069,-0.00561523,210.32,2.41E+00,210.276,2.71E+00,210.437,2.73E+00
0.399628,-0.00557861,210.636,2.58E+00,210.592,2.64E+00,210.753,2.60E+00
0.397186,-0.00552979,210.952,2.65E+00,210.907,2.46E+00,211.069,2.54E+00
0.394745,-0.00549622,211.267,3.15E+00,211.223,2.60E+00,211.384,2.49E+00
0.392303,-0.0054657,211.583,3.04E+00,211.539,2.54E+00,211.7,2.61E+00
0.389862,-0.00542297,211.898,2.77E+00,211.854,2.94E+00,212.015,2.74E+00
0.387421,-0.0053772,212.214,2.88E+00,212.17,3.00E+00,212.331,2.93E+00
0.384979,-0.00535583,212.53,2.75E+00,212.485,3.02E+00,212.647,2.97E+00
0.382538,-0.00533447,212.845,2.61E+00,212.801,3.03E+00,212.962,2.85E+00
0.380096,-0.00528564,213.161,2.34E+00,213.117,3.04E+00,213.278,3.12E+00
0.377655,-0.00524597,213.476,2.38E+00,213.432,3.13E+00,213.593,2.98E+00
0.375214,-0.00523987,213.792,2.41E+00,213.748,3.07E+00,213.909,2.88E+00
0.372772,-0.0052063,214.108,2.58E+00,214.063,2.80E+00,214.225,2.78E+00
0.370331,-0.00517578,214.423,2.40E+00,214.379,2.55E+00,214.54,2.58E+00
0.367889,-0.00515747,214.739,2.62E+00,214.695,2.58E+00,214.856,2.55E+00
0.365448,-0.00515442,215.054,2.69E+00,215.01,2.67E+00,215.171,2.56E+00
0.363007,-0.0051178,215.37,2.84E+00,215.326,2.67E+00,215.487,2.70E+00
0.360565,-0.00508118,215.686,2.82E+00,215.641,2.84E+00,215.803,2.78E+00
0.358124,-0.00506287,216.001,2.67E+00,215.957,2.81E+00,216.118,2.76E+00
0.355682,-0.00504456,216.317,2.73E+00,216.273,3.15E+00,216.434,3.34E+00
0.353241,-0.00500793,216.632,2.59E+00,216.588,3.08E+00,216.749,3.05E+00
0.3508,-0.00496979,216.948,2.83E+00,216.904,2.98E+00,217.065,3.26E+00
0.348358,-0.00496216,217.264,2.41E+00,217.219,2.88E+00,217.381,3.00E+00
0.345917,-0.00495361,217.579,2.45E+00,217.535,3.02E+00,217.696,2.88E+00
0.343475,-0.00491211,217.895,2.66E+00,217.851,2.87E+00,218.012,2.82E+00
0.341034,-0.00488983,218.21,2.46E+00,218.166,2.71E+00,218.327,2.78E+00
0.338593,-0.00489197,218.526,2.60E+00,218.482,2.69E+00,218.643,2.73E+00
0.336151,-0.0048761,218.842,2.92E+00,218.797,2.64E+00,218.959,2.66E+00
0.33371,-0.00484558,219.157,2.93E+00,219.113,2.55E+00,219.274,2.82E+00
0.331268,-0.00483337,219.473,2.90E+00,219.429,2.69E+00,219.59,2.68E+00
0.328827,-0.00482147,219.788,2.84E+00,219.744,2.85E+00,219.905,2.67E+00
0.326385,-0.00478973,220.104,2.78E+00,220.06,3.15E+00,220.221,2.97E+00
0.323944,-0.00476288,220.42,2.55E+00,220.375,3.02E+00,220.537,2.92E+00
0.321503,-0.00476471,220.735,2.55E+00,220.691,3.10E+00,220.852,3.05E+00
0.319061,-0.00475281,221.051,2.54E+00,221.007,3.00E+00,221.168,2.99E+00
0.31662,-0.00471893,221.366,2.25E+00,221.322,2.93E+00,221.483,2.95E+00
0.314178,-0.00469604,221.682,2.22E+00,221.638,3.06E+00,221.799,2.82E+00
0.311737,-0.00469513,221.998,2.32E+00,221.953,2.67E+00,222.115,2.90E+00
0.309296,-0.00468323,222.313,2.67E+00,222.269,2.65E+00,222.43,2.53E+00
0.306854,-0.00464508,222.629,2.81E+00,222.585,2.63E+00,222.746,2.73E+00
0.304413,-0.00463531,222.944,2.82E+00,222.9,2.61E+00,223.061,2.52E+00
0.301971,-0.00461914,223.26,2.78E+00,223.216,2.67E+00,223.377,2.59E+00
0.29953,-0.00461456,223.576,3.04E+00,223.531,2.95E+00,223.693,2.78E+00
0.297089,-0.00460052,223.891,2.74E+00,223.847,2.94E+00,224.008,2.81E+00
0.294647,-0.0045874,224.207,2.78E+00,224.163,2.95E+00,224.324,2.85E+00
0.292206,-0.00456512,224.522,2.81E+00,224.478,3.19E+00,224.639,2.93E+00
0.289764,-0.00454681,224.838,2.51E+00,224.794,3.06E+00,224.955,3.25E+00
0.287323,-0.00453003,225.154,2.43E+00,225.109,2.94E+00,225.271,3.00E+00
0.284882,-0.00451813,225.469,2.37E+00,225.425,3.17E+00,225.586,2.86E+00
0.28244,-0.00450623,225.785,2.46E+00,225.741,2.73E+00,225.902,2.94E+00
0.279999,-0.00448517,226.1,2.53E+00,226.056,2.88E+00,226.217,2.78E+00
0.277557,-0.00447174,226.416,2.79E+00,226.372,2.53E+00,226.533,2.70E+00
0.275116,-0.00445557,226.732,2.60E+00,226.687,2.87E+00,226.849,2.66E+00
0.272675,-0.00444153,227.047,2.90E+00,227.003,2.66E+00,227.164,2.53E+00
0.270233,-0.00443085,227.363,2.86E+00,227.319,2.94E+00,227.48,2.74E+00
0.267792,-0.00442169,227.678,2.85E+00,227.634,3.00E+00,227.795,3.08E+00
0.26535,-0.0044043,227.994,2.73E+00,227.95,3.14E+00,228.111,2.85E+00
0.262909,-0.00439056,228.31,2.76E+00,228.265,3.19E+00,228.427,3.18E+00
0.260468,-0.00438263,228.625,2.51E+00,228.581,3.08E+00,228.742,3.03E+00
0.258026,-0.00436768,228.941,2.34E+00,228.897,3.09E+00,229.058,3.13E+00
0.255585,-0.00435669,229.256,2.48E+00,229.212,2.74E+00,229.373,2.93E+00
0.253143,-0.00434601,229.572,2.42E+00,229.528,2.94E+00,229.689,2.87E+00
0.250702,-0.00433502,229.888,2.47E+00,229.843,2.84E+00,230.005,2.86E+00
0.24826,-0.00432617,230.203,2.60E+00,230.159,2.59E+00,230.32,2.89E+00
0.245819,-0.00431396,230.519,2.98E+00,230.475,2.64E+00,230.636,2.51E+00
0.243378,-0.00430878,230.834,2.75E+00,230.79,2.61E+00,230.951,2.59E+00
0.240936,-0.00430298,231.15,2.94E+00,231.106,2.71E+00,231.267,2.73E+00
0.238495,-0.00429871,231.466,2.91E+00,231.421,2.82E+00,231.583,2.91E+00
0.236053,-0.00429474,231.781,2.67E+00,231.737,3.17E+00,231.898,2.99E+00
0.233612,-0.00428589,232.097,2.67E+00,232.053,2.91E+00,232.214,3.30E+00
0.231171,-0.00427338,232.412,2.68E+00,232.368,2.99E+00,232.529,3.40E+00
0.228729,-0.00426849,232.728,2.44E+00,232.684,3.11E+00,232.845,2.84E+00
0.226288,-0.00425934,233.044,2.24E+00,232.999,2.94E+00,233.161,2.97E+00
0.223846,-0.00426086,233.359,2.42E+00,233.315,2.91E+00,233.476,2.99E+00
0.221405,-0.00425903,233.675,2.46E+00,233.631,2.57E+00,233.792,2.83E+00
0.218964,-0.00424683,233.99,2.68E+00,233.946,2.53E+00,234.107,2.78E+00
0.216522,-0.00424042,234.306,2.88E+00,234.262,2.55E+00,234.423,2.57E+00
0.214081,-0.00424225,234.622,2.78E+00,234.577,2.77E+00,234.739,2.57E+00
0.211639,-0.00423584,234.937,2.72E+00,234.893,2.78E+00,235.054,2.73E+00
0.209198,-0.00422913,235.253,2.71E+00,235.209,2.81E+00,235.37,2.82E+00
0.206757,-0.00422577,235.568,2.87E+00,235.524,3.18E+00,235.685,2.87E+00
0.204315,-0.0042218,235.884,2.76E+00,235.84,3.12E+00,236.001,3.18E+00
0.201874,-0.00422607,236.2,2.65E+00,236.155,3.15E+00,236.317,3.13E+00
0.199432,-0.00421234,236.515,2.41E+00,236.471,3.14E+00,236.632,2.94E+00
0.196991,-0.00420441,236.831,2.38E+00,236.787,3.12E+00,236.948,2.98E+00
0.19455,-0.00419952,237.146,2.35E+00,237.102,2.84E+00,237.263,2.90E+00
0.192108,-0.004198,237.462,2.50E+00,237.418,2.78E+00,237.579,2.85E+00
0.189667,-0.00420807,237.778,2.57E+00,237.733,2.60E+00,237.895,2.73E+00
0.187225,-0.00419403,238.093,2.64E+00,238.049,2.44E+00,238.21,2.68E+00
0.184784,-0.00420898,238.409,2.78E+00,238.365,2.66E+00,238.526,2.51E+00
0.182343,-0.00422455,238.724,2.84E+00,238.68,2.63E+00,238.841,2.75E+00
0.179901,-0.00421509,239.04,2.65E+00,238.996,2.74E+00,239.157,2.66E+00
0.17746,-0.00420563,239.356,2.91E+00,239.311,2.95E+00,239.473,2.89E+00
0.175018,-0.00422821,239.671,2.69E+00,239.627,2.91E+00,239.788,2.75E+00
0.172577,-0.00423737,239.987,2.82E+00,239.943,3.22E+00,240.104,3.04E+00
0.170135,-0.004216,240.302,2.37E+00,240.258,3.15E+00,240.419,3.46E+00
0.167694,-0.00421814,240.618,2.38E+00,240.574,3.08E+00,240.735,2.98E+00
0.165253,-0.00424744,240.934,2.39E+00,240.889,2.85E+00,241.051,3.03E+00
0.162811,-0.00425049,241.249,2.48E+00,241.205,2.92E+00,241.366,2.83E+00
0.16037,-0.00424194,241.565,2.53E+00,241.521,2.79E+00,241.682,2.72E+00
0.157928,-0.00426178,241.88,2.71E+00,241.836,2.60E+00,241.997,2.80E+00
0.155487,-0.00429108,242.196,2.74E+00,242.152,2.83E+00,242.313,2.63E+00
0.153046,-0.00429291,242.512,2.87E+00,242.467,2.80E+00,242.629,2.69E+00
0.150604,-0.0042926,242.827,2.88E+00,242.783,2.76E+00,242.944,2.84E+00
0.148163,-0.00431854,243.143,2.84E+00,243.099,3.01E+00,243.26,2.89E+00
0.145721,-0.0043396,243.458,2.81E+00,243.414,3.08E+00,243.575,3.20E+00
0.14328,-0.00433105,243.774,2.59E+00,243.73,3.27E+00,243.891,3.18E+00
0.140839,-0.00434021,244.09,2.54E+00,244.045,3.12E+00,244.207,2.99E+00
0.138397,-0.00437805,244.405,2.39E+00,244.361,2.86E+00,244.522,3.12E+00
0.135956,-0.00440155,244.721,2.41E+00,244.677,2.92E+00,244.838,3.02E+00
0.133514,-0.00439453,245.036,2.37E+00,244.992,2.83E+00,245.153,3.20E+00
0.131073,-0.00440979,245.352,2.55E+00,245.308,2.66E+00,245.469,2.75E+00
0.128632,-0.00444916,245.668,2.71E+00,245.623,2.70E+00,245.785,2.63E+00
0.12619,-0.00444977,245.983,2.79E+00,245.939,2.66E+00,246.1,2.66E+00
0.123749,-0.0044516,246.299,2.84E+00,246.255,2.76E+00,246.416,2.65E+00
0.121307,-0.00448151,246.614,2.66E+00,246.57,2.87E+00,246.731,2.72E+00
0.118866,-0.00452087,246.93,2.81E+00,246.886,3.00E+00,247.047,2.68E+00
0.116425,-0.00453339,247.246,2.66E+00,247.201,2.98E+00,247.363,2.80E+00
0.113983,-0.00453003,247.561,2.73E+00,247.517,2.93E+00,247.678,3.15E+00
0.111542,-0.00456848,247.877,2.36E+00,247.833,2.93E+00,247.994,3.21E+00
0.1091,-0.00460114,248.192,2.29E+00,248.148,3.03E+00,248.309,3.00E+00
0.106659,-0.00459991,248.508,2.28E+00,248.464,2.99E+00,248.625,3.02E+00
0.104218,-0.00461517,248.824,2.37E+00,248.779,2.94E+00,248.941,2.88E+00
0.101776,-0.0046521,249.139,2.52E+00,249.095,2.78E+00,249.256,2.71E+00
0.0993347,-0.0046759,249.455,2.48E+00,249.411,2.72E+00,249.572,2.74E+00
0.0968933,-0.00470367,249.77,2.71E+00,249.726,2.59E+00,249.887,2.74E+00
0.0944519,-0.00472443,250.086,2.99E+00,250.042,2.74E+00,250.203,2.89E+00
0.0920105,-0.00474365,250.402,2.96E+00,250.357,3.03E+00,250.519,2.72E+00
0.0895691,-0.00477051,250.717,2.80E+00,250.673,2.90E+00,250.834,2.80E+00
0.0871277,-0.00478729,251.033,2.90E+00,250.989,2.95E+00,251.15,3.14E+00
0.0846863,-0.00481476,251.348,2.79E+00,251.304,3.21E+00,251.465,2.99E+00
0.0822449,-0.00484619,251.664,2.77E+00,251.62,3.18E+00,251.781,2.89E+00
0.0798035,-0.00486938,251.98,2.59E+00,251.935,3.07E+00,252.097,3.21E+00
0.0773621,-0.00491089,252.295,2.50E+00,252.251,2.94E+00,252.412,2.89E+00
0.0749207,-0.00492584,252.611,2.53E+00,252.567,3.09E+00,252.728,2.84E+00
0.0724792,-0.00495453,252.926,2.54E+00,252.882,2.67E+00,253.043,2.74E+00
0.0700378,-0.00501099,253.242,2.51E+00,253.198,2.62E+00,253.359,2.56E+00
0.0675964,-0.00502319,253.558,2.56E+00,253.513,2.72E+00,253.675,2.57E+00
0.065155,-0.0050415,253.873,2.81E+00,253.829,2.61E+00,253.99,2.55E+00
0.0627136,-0.00506897,254.189,2.77E+00,254.145,3.05E+00,254.306,2.60E+00
0.0602722,-0.00509644,254.504,2.88E+00,254.46,2.91E+00,254.621,2.78E+00
0.0578308,-0.00510559,254.82,2.73E+00,254.776,2.92E+00,254.937,2.96E+00
0.0553894,-0.00513,255.136,2.76E+00,255.091,3.20E+00,255.253,3.00E+00
0.052948,-0.00515442,255.451,2.57E+00,255.407,3.16E+00,255.568,3.07E+00
0.0505066,-0.00519409,255.767,2.49E+00,255.723,3.07E+00,255.884,3.30E+00
0.0480652,-0.00524292,256.082,2.28E+00,256.038,3.00E+00,256.199,3.07E+00
0.0456238,-0.00526733,256.398,2.54E+00,256.354,2.90E+00,256.515,3.08E+00
0.0431824,-0.00529175,256.714,2.36E+00,256.669,2.85E+00,256.831,2.73E+00
0.040741,-0.00531311,257.029,2.58E+00,256.985,2.66E+00,257.146,3.00E+00
0.0382996,-0.00534058,257.345,2.62E+00,257.301,2.74E+00,257.462,2.46E+00
0.0358582,-0.00537109,257.66,2.65E+00,257.616,2.65E+00,257.777,2.91E+00
0.0334167,-0.00539856,257.976,2.67E+00,257.932,2.72E+00,258.093,2.68E+00
0.0309753,-0.00542297,258.292,2.86E+00,258.247,2.75E+00,258.409,2.70E+00
0.0285339,-0.00545044,258.607,2.68E+00,258.563,2.98E+00,258.724,2.81E+00
0.0260925,-0.00547485,258.923,2.94E+00,258.879,3.02E+00,259.04,2.95E+00
0.0236511,-0.00549316,259.238,2.76E+00,259.194,3.22E+00,259.355,3.10E+00
0.0212097,-0.00552063,259.554,2.70E+00,259.51,3.20E+00,259.671,3.14E+00
0.0187683,-0.00554199,259.87,2.71E+00,259.825,3.00E+00,259.987,3.06E+00
0.0163269,-0.00558472,260.185,2.44E+00,260.141,2.92E+00,260.302,3.11E+00
0.0138855,-0.00561523,260.501,2.57E+00,260.457,2.61E+00,260.618,2.96E+00
0.0114441,-0.00567322,260.816,2.45E+00,260.772,2.65E+00,260.933,2.68E+00
0.00900269,-0.00570374,261.132,2.54E+00,261.088,2.68E+00,261.249,2.69E+00
0.00656128,-0.0057312,261.448,2.67E+00,261.403,2.75E+00,261.565,2.51E+00
0.00411987,-0.00575562,261.763,2.87E+00,261.719,2.67E+00,261.88,2.83E+00
0.00167847,-0.00579834,262.079,2.87E+00,262.035,2.71E+00,262.196,2.84E+00
-0.000762939,-0.0058197,262.394,2.98E+00,262.35,2.85E+00,262.511,2.67E+00
-0.00320435,-0.00585022,262.71,3.04E+00,262.666,2.95E+00,262.827,3.28E+00
-0.00564575,-0.00587158,263.026,2.83E+00,262.981,3.17E+00,263.143,3.18E+00
-0.00808716,-0.005896,263.341,2.76E+00,263.297,3.03E+00,263.458,3.20E+00
-0.0105286,-0.00591431,263.657,2.65E+00,263.613,3.07E+00,263.774,3.04E+00
-0.01297,-0.00592651,263.972,2.46E+00,263.928,2.94E+00,264.089,2.91E+00
-0.0154114,-0.00596619,264.288,2.36E+00,264.244,2.99E+00,264.405,2.98E+00
-0.0178528,-0.00600891,264.604,2.56E+00,264.559,2.68E+00,264.721,2.94E+00
-0.0202942,-0.00600891,264.919,2.69E+00,264.875,2.62E+00,265.036,2.66E+00
-0.0227356,-0.00602112,265.235,2.81E+00,265.191,2.63E+00,265.352,2.62E+00
-0.025177,-0.00610046,265.55,2.83E+00,265.506,2.72E+00,265.667,2.63E+00
-0.0276184,-0.00613403,265.866,2.95E+00,265.822,2.81E+00,265.983,2.60E+00
-0.0300598,-0.00613403,266.182,2.96E+00,266.137,2.97E+00,266.299,2.79E+00
-0.0325012,-0.00615845,266.497,2.87E+00,266.453,3.01E+00,266.614,2.77E+00
-0.0349426,-0.0062439,266.813,2.88E+00,266.769,3.05E+00,266.93,3.02E+00
-0.037384,-0.00627441,267.128,2.65E+00,267.084,3.09E+00,267.245,2.96E+00
-0.0398254,-0.00627136,267.444,2.42E+00,267.4,3.11E+00,267.561,3.08E+00
-0.0422668,-0.00631104,267.76,2.42E+00,267.715,3.11E+00,267.877,2.90E+00
-0.0447083,-0.00636597,268.075,2.54E+00,268.031,2.98E+00,268.192,2.91E+00
-0.0471497,-0.00637817,268.391,2.65E+00,268.347,2.88E+00,268.508,3.04E+00
-0.0495911,-0.00636597,268.706,2.49E+00,268.662,2.74E+00,268.823,2.61E+00
-0.0520325,-0.00641479,269.022,2.79E+00,268.978,2.76E+00,269.139,2.47E+00
-0.0544739,-0.00646667,269.338,2.83E+00,269.293,2.53E+00,269.455,2.59E+00
-0.0569153,-0.00646667,269.653,2.82E+00,269.609,2.75E+00,269.77,2.68E+00
-0.0593567,-0.00648804,269.969,2.90E+00,269.925,2.88E+00,270.086,2.62E+00
-0.0617981,-0.00655518,270.284,2.79E+00,270.24,3.05E+00,270.401,2.84E+00
-0.0642395,-0.00661621,270.6,2.82E+00,270.556,3.10E+00,270.717,3.10E+00
-0.0666809,-0.00661621,270.916,2.56E+00,270.871,3.06E+00,271.033,2.97E+00
-0.0691223,-0.00664978,271.231,2.62E+00,271.187,3.24E+00,271.348,3.09E+00
-0.0715637,-0.00672913,271.547,2.57E+00,271.503,3.30E+00,271.664,2.95E+00
-0.0740051,-0.00675354,271.862,2.45E+00,271.818,2.88E+00,271.979,2.93E+00
-0.0764465,-0.0067688,272.178,2.51E+00,272.134,2.78E+00,272.295,2.89E+00
-0.0788879,-0.00682983,272.494,2.67E+00,272.449,2.56E+00,272.611,2.84E+00
-0.0813293,-0.00690308,272.809,2.50E+00,272.765,2.92E+00,272.926,2.72E+00
-0.0837708,-0.00692139,273.125,2.72E+00,273.081,2.59E+00,273.242,2.63E+00
-0.0862122,-0.00694275,273.44,2.82E+00,273.396,2.71E+00,273.557,2.64E+00
-0.0886536,-0.00701904,273.756,2.84E+00,273.712,2.90E+00,273.873,2.93E+00
-0.091095,-0.00708923,274.072,2.69E+00,274.027,2.87E+00,274.189,2.95E+00
-0.0935364,-0.00709839,274.387,3.07E+00,274.343,2.91E+00,274.504,3.06E+00
-0.0959778,-0.00714722,274.703,2.75E+00,274.659,3.13E+00,274.82,3.23E+00
-0.0984192,-0.00724182,275.018,2.71E+00,274.974,3.14E+00,275.135,3.30E+00
-0.100861,-0.0072998,275.334,2.52E+00,275.29,3.23E+00,275.451,3.21E+00
-0.103302,-0.00734558,275.65,2.58E+00,275.605,2.83E+00,275.767,3.09E+00
-0.105743,-0.00740662,275.965,2.44E+00,275.921,2.62E+00,276.082,2.94E+00
-0.108185,-0.00749207,276.281,2.48E+00,276.237,2.60E+00,276.398,2.86E+00
-0.110626,-0.00756226,276.596,2.53E+00,276.552,2.64E+00,276.713,2.79E+00
-0.113068,-0.00763245,276.912,2.64E+00,276.868,2.76E+00,277.029,2.58E+00
-0.115509,-0.00772095,277.228,2.72E+00,277.183,2.95E+00,277.345,2.57E+00
-0.11795,-0.00776367,277.543,2.89E+00,277.499,3.04E+00,277.66,2.64E+00
-0.120392,-0.00779724,277.859,2.92E+00,277.815,2.85E+00,277.976,3.04E+00
-0.122833,-0.00786133,278.174,2.70E+00,278.13,3.12E+00,278.291,2.90E+00
-0.125275,-0.00793457,278.49,2.75E+00,278.446,3.01E+00,278.607,3.21E+00
-0.127716,-0.00799255,278.806,2.62E+00,278.761,3.37E+00,278.923,3.19E+00
-0.130157,-0.00805969,279.121,2.56E+00,279.077,3.10E+00,279.238,3.39E+00
-0.132599,-0.00812073,279.437,2.46E+00,279.393,2.96E+00,279.554,3.18E+00
-0.13504,-0.00818481,279.752,2.57E+00,279.708,2.90E+00,279.869,2.94E+00
-0.137482,-0.00824585,280.068,2.61E+00,280.024,2.76E+00,280.185,2.90E+00
-0.139923,-0.00830994,280.384,2.59E+00,280.339,2.53E+00,280.501,2.62E+00
-0.142365,-0.00840454,280.699,3.03E+00,280.655,2.62E+00,280.816,2.48E+00
-0.144806,-0.00845947,281.015,3.25E+00,280.971,2.66E+00,281.132,2.61E+00
-0.147247,-0.00851135,281.33,3.06E+00,281.286,3.02E+00,281.447,2.72E+00
-0.149689,-0.00856628,281.646,2.90E+00,281.602,2.88E+00,281.763,2.84E+00
-0.15213,-0.00860901,281.962,2.77E+00,281.917,3.01E+00,282.079,2.78E+00
-0.154572,-0.00865479,282.277,2.66E+00,282.233,3.11E+00,282.394,3.00E+00
-0.157013,-0.00869751,282.593,2.55E+00,282.549,3.08E+00,282.71,3.08E+00
-0.159454,-0.00872803,282.908,2.42E+00,282.864,3.16E+00,283.025,2.92E+00
-0.161896,-0.00875854,283.224,2.20E+00,283.18,3.12E+00,283.341,3.01E+00
-0.164337,-0.00878601,283.54,2.15E+00,283.495,2.87E+00,283.657,3.16E+00
-0.166779,-0.00880737,283.855,2.12E+00,283.811,2.80E+00,283.972,2.79E+00
-0.16922,-0.00882263,284.171,2.18E+00,284.127,2.81E+00,284.288,2.79E+00
-0.171661,-0.00883789,284.486,2.43E+00,284.442,2.50E+00,284.603,3.03E+00
-0.174103,-0.0088501,284.802,2.53E+00,284.758,2.68E+00,284.919,2.73E+00
-0.176544,-0.00885315,285.118,2.60E+00,285.073,2.63E+00,285.235,2.84E+00
-0.178986,-0.00885315,285.433,2.59E+00,285.389,2.80E+00,285.55,2.77E+00
-0.181427,-0.00885315,285.749,2.71E+00,285.705,2.74E+00,285.866,3.08E+00
-0.183868,-0.00884399,286.064,2.56E+00,286.02,2.98E+00,286.181,3.12E+00
-0.18631,-0.00882568,286.38,2.39E+00,286.336,3.09E+00,286.497,3.16E+00
-0.188751,-0.00879517,286.696,2.16E+00,286.651,3.12E+00,286.813,3.12E+00
-0.191193,-0.00877075,287.011,2.18E+00,286.967,3.10E+00,287.128,3.18E+00
-0.193634,-0.00874023,287.327,2.04E+00,287.283,2.88E+00,287.444,2.90E+00
-0.196075,-0.00870056,287.642,2.06E+00,287.598,2.78E+00,287.759,2.92E+00
-0.198517,-0.00866394,287.958,2.06E+00,287.914,2.69E+00,288.075,2.86E+00
-0.200958,-0.00864258,288.274,2.18E+00,288.229,2.73E+00,288.391,2.68E+00
-0.2034,-0.00859985,288.589,2.36E+00,288.545,2.70E+00,288.706,2.79E+00
