Figure 3 data,,,,,,,,,,,
Exp 1 (11/17),,,,Exp 3 (12/1),,,,Exp 6 (10/11),,,
300 mV/s,,,,300 mV/s,,,,300 mV/s,,,
WE Potential (V),Adjusted Potential (WE Potential + 0 V),WE Current Density (A/cm^2),WE Current Density (mA/cm^2),WE Potential (V),Adjusted Potential (WE Potential - 0.2 V),WE Current Density (A/cm^2),WE Current Density (mA/cm^2),WE Potential (V),Adjusted Potential (WE Potential - 0.9 V),WE Current Density (A/cm^2),WE Current Density (mA/cm^2)
-0.056427,-0.056427,-0.005609948,-5.609947991,-0.0563965,-0.2563965,-0.002426937,-2.426937472,-0.0563965,-0.9563965,-0.013027908,-13.02790832
-0.0574646,-0.0574646,-0.005579101,-5.579100593,-0.0574646,-0.2574646,-0.002409266,-2.409266136,-0.0574036,-0.9574036,-0.012950054,-12.9500545
-0.0585938,-0.0585938,-0.005596237,-5.596236789,-0.0585632,-0.2585632,-0.002403369,-2.403369256,-0.0584717,-0.9584717,-0.012911149,-12.91114885
-0.0596008,-0.0596008,-0.005609948,-5.609947991,-0.0596008,-0.2596008,-0.002415153,-2.415153364,-0.0595398,-0.9595398,-0.013092794,-13.0927936
-0.0606079,-0.0606079,-0.005589387,-5.589386803,-0.0606384,-0.2606384,-0.002432825,-2.4328247,-0.0606689,-0.9606689,-0.013131742,-13.13174177
-0.0616455,-0.0616455,-0.005596237,-5.596236789,-0.0617371,-0.2617371,-0.002385698,-2.38569792,-0.061676,-0.961676,-0.013170647,-13.17064742
-0.0627441,-0.0627441,-0.005627084,-5.627084187,-0.0627747,-0.2627747,-0.002400426,-2.400425642,-0.0628357,-0.9628357,-0.013183658,-13.18365849
-0.0638123,-0.0638123,-0.005565389,-5.565389391,-0.0638733,-0.2638733,-0.002421041,-2.421040592,-0.0638428,-0.9638428,-0.013248501,-13.24850124
-0.0649109,-0.0649109,-0.005582526,-5.582525587,-0.0648804,-0.2648804,-0.002400426,-2.400425642,-0.0648804,-0.9648804,-0.013183658,-13.18365849
-0.065918,-0.065918,-0.005633934,-5.633934173,-0.065979,-0.265979,-0.002365083,-2.36508297,-0.065918,-0.965918,-0.013313387,-13.31338652
-0.0670471,-0.0670471,-0.005585962,-5.585961809,-0.0670166,-0.2670166,-0.002456393,-2.456392915,-0.0670776,-0.9670776,-0.013378272,-13.37827179
-0.0681763,-0.0681763,-0.005561964,-5.561964398,-0.0681152,-0.2681152,-0.002415153,-2.415153364,-0.0681152,-0.9681152,-0.01339124,-13.39124034
-0.0691223,-0.0691223,-0.005637359,-5.637359167,-0.0691528,-0.2691528,-0.002379811,-2.379810692,-0.0691833,-0.9691833,-0.013326398,-13.32639759
-0.070282,-0.070282,-0.005633934,-5.633934173,-0.0702515,-0.2702515,-0.002418097,-2.418096978,-0.0702515,-0.9702515,-0.013508042,-13.50804233
-0.0713501,-0.0713501,-0.005585962,-5.585961809,-0.0712891,-0.2712891,-0.002450496,-2.450496036,-0.0712891,-0.9712891,-0.013572928,-13.57292761
-0.0723572,-0.0723572,-0.005579101,-5.579100593,-0.0723267,-0.2723267,-0.002409266,-2.409266136,-0.0723572,-0.9723572,-0.013572928,-13.57292761
-0.0733948,-0.0733948,-0.005579101,-5.579100593,-0.0734863,-0.2734863,-0.002403369,-2.403369256,-0.0734558,-0.9734558,-0.013495074,-13.49507378
-0.0745239,-0.0745239,-0.005575676,-5.5756756,-0.0744934,-0.2744934,-0.00245344,-2.45343965,-0.0744934,-0.9744934,-0.013676719,-13.67671853
-0.0755615,-0.0755615,-0.005537978,-5.537978216,-0.075592,-0.275592,-0.00246228,-2.462280144,-0.0755615,-0.9755615,-0.013676719,-13.67671853
-0.0766296,-0.0766296,-0.005568826,-5.568825614,-0.0766602,-0.2766602,-0.002403369,-2.403369256,-0.0766602,-0.9766602,-0.013650781,-13.65078143
-0.0776978,-0.0776978,-0.005565389,-5.565389391,-0.0776978,-0.2776978,-0.002432825,-2.4328247,-0.0776672,-0.9776672,-0.013832426,-13.83242618
-0.0787354,-0.0787354,-0.005544828,-5.544828202,-0.0788269,-0.2788269,-0.002447552,-2.447552422,-0.0787659,-0.9787659,-0.013845437,-13.84543725
-0.0798035,-0.0798035,-0.005568826,-5.568825614,-0.0798035,-0.2798035,-0.002423994,-2.423993858,-0.079834,-0.979834,-0.013754572,-13.75457236
-0.0809021,-0.0809021,-0.005596237,-5.596236789,-0.0809326,-0.2809326,-0.00241221,-2.41220975,-0.0808716,-0.9808716,-0.013975165,-13.97516528
-0.0820007,-0.0820007,-0.005548264,-5.548264425,-0.0820007,-0.2820007,-0.002471111,-2.471110986,-0.0819397,-0.9819397,-0.013975165,-13.97516528
-0.0830383,-0.0830383,-0.005537978,-5.537978216,-0.0830688,-0.2830688,-0.002450496,-2.450496036,-0.0830688,-0.9830688,-0.013962197,-13.96219673
-0.0841064,-0.0841064,-0.005579101,-5.579100593,-0.0841675,-0.2841675,-0.002421041,-2.421040592,-0.0841064,-0.9841064,-0.013975165,-13.97516528
-0.0851135,-0.0851135,-0.005582526,-5.582525587,-0.0852051,-0.2852051,-0.002438722,-2.438721579,-0.0851746,-0.9851746,-0.014130873,-14.13087292
-0.0862732,-0.0862732,-0.005544828,-5.544828202,-0.0863037,-0.2863037,-0.002474064,-2.474064251,-0.0862732,-0.9862732,-0.014130873,-14.13087292
-0.0872803,-0.0872803,-0.005558539,-5.558539405,-0.0873413,-0.2873413,-0.002423994,-2.423993858,-0.0872498,-0.9872498,-0.014130873,-14.13087292
-0.0883789,-0.0883789,-0.005548264,-5.548264425,-0.0884094,-0.2884094,-0.002432825,-2.4328247,-0.0883484,-0.9883484,-0.014351466,-14.35146584
-0.0894165,-0.0894165,-0.005524267,-5.524267014,-0.089386,-0.289386,-0.002468167,-2.468167372,-0.089386,-0.989386,-0.014377445,-14.37744546
-0.0904846,-0.0904846,-0.005524267,-5.524267014,-0.0905151,-0.2905151,-0.002465224,-2.465223758,-0.0905151,-0.9905151,-0.014377445,-14.37744546
-0.0915527,-0.0915527,-0.005555114,-5.555114411,-0.0915527,-0.2915527,-0.002438722,-2.438721579,-0.0915222,-0.9915222,-0.014377445,-14.37744546
-0.0926514,-0.0926514,-0.005531128,-5.531128229,-0.0926514,-0.2926514,-0.002488792,-2.488791973,-0.0925903,-0.9925903,-0.014520185,-14.52018456
-0.0936279,-0.0936279,-0.005513992,-5.513992034,-0.0937195,-0.2937195,-0.002450496,-2.450496036,-0.093689,-0.993689,-0.014533153,-14.53315311
-0.0947266,-0.0947266,-0.005541403,-5.541403209,-0.0947876,-0.2947876,-0.002423994,-2.423993858,-0.0947571,-0.9947571,-0.014468268,-14.46826784
-0.0957947,-0.0957947,-0.005524267,-5.524267014,-0.0957947,-0.2957947,-0.002471111,-2.471110986,-0.0957947,-0.9957947,-0.014572059,-14.57205876
-0.0968628,-0.0968628,-0.005490006,-5.490005852,-0.0969543,-0.2969543,-0.002479951,-2.47995148,-0.0968933,-0.9968933,-0.014675892,-14.67589221
-0.0979309,-0.0979309,-0.005507131,-5.507130818,-0.0979614,-0.2979614,-0.002450496,-2.450496036,-0.0979309,-0.9979309,-0.014675892,-14.67589221
-0.0990295,-0.0990295,-0.005531128,-5.531128229,-0.0990295,-0.2990295,-0.002423994,-2.423993858,-0.098999,-0.998999,-0.014740777,-14.74077748
-0.100098,-0.100098,-0.005507131,-5.507130818,-0.100128,-0.300128,-0.002479951,-2.47995148,-0.100098,-1.000098,-0.014935391,-14.93539078
-0.101135,-0.101135,-0.00548657,-5.486569629,-0.101196,-0.301196,-0.002494679,-2.494679202,-0.101074,-1.001074,-0.014870506,-14.87050551
-0.102173,-0.102173,-0.005500281,-5.500280832,-0.102203,-0.302203,-0.00245344,-2.45343965,-0.102173,-1.002173,-0.014896485,-14.89648513
-0.103271,-0.103271,-0.005517417,-5.517417027,-0.103302,-0.303302,-0.002471111,-2.471110986,-0.103241,-1.003241,-0.015000276,-15.00027605
-0.10434,-0.10434,-0.005448872,-5.448872245,-0.104401,-0.304401,-0.002485839,-2.485838708,-0.104309,-1.004309,-0.015117078,-15.11707805
-0.105408,-0.105408,-0.005493431,-5.493430845,-0.105408,-0.305408,-0.00246228,-2.462280144,-0.105438,-1.005438,-0.015091098,-15.09109843
-0.106476,-0.106476,-0.005496856,-5.496855838,-0.106476,-0.306476,-0.002450496,-2.450496036,-0.106445,-1.006445,-0.015168952,-15.16895225
-0.107574,-0.107574,-0.005452308,-5.452308467,-0.107544,-0.307544,-0.00250351,-2.503510044,-0.107574,-1.007574,-0.015259817,-15.25981715
-0.108643,-0.108643,-0.005431747,-5.431747279,-0.108612,-0.308612,-0.002474064,-2.474064251,-0.108582,-1.008582,-0.015298723,-15.2987228
-0.10965,-0.10965,-0.005483145,-5.483144636,-0.109711,-0.309711,-0.00246228,-2.462280144,-0.10968,-1.00968,-0.015285754,-15.28575425
-0.110748,-0.110748,-0.005466008,-5.46600844,-0.110718,-0.310718,-0.002485839,-2.485838708,-0.110718,-1.010718,-0.015493379,-15.49337862
-0.111816,-0.111816,-0.005424886,-5.424886063,-0.111847,-0.311847,-0.002521181,-2.52118138,-0.111786,-1.011786,-0.015493379,-15.49337862
-0.112885,-0.112885,-0.005455733,-5.455733461,-0.112885,-0.312885,-0.002450496,-2.450496036,-0.112854,-1.012854,-0.015519316,-15.51931572
