Figure 8 data,,,,,,,,,,,
1 Hz,,,2 Hz,,,4 Hz,,,7 Hz,,
Potential (V),delta current (A),delta current (mA),Potential (V),delta current (A),delta current (mA),Potential (V),delta current (A),delta current (mA),Potential (V),delta current (A),delta current (mA)
-0.606461,-8.04E-06,-8.04E-03,-0.606461,-8.79E-06,-8.79E-03,-0.606461,-1.57E-05,-1.57E-02,-0.606461,-3.02E-05,-3.02E-02
-0.613022,-4.16E-06,-4.16E-03,-0.613022,-4.41E-06,-4.41E-03,-0.613022,-8.57E-06,-8.57E-03,-0.613022,-1.88E-05,-1.88E-02
-0.619583,-3.38E-06,-3.38E-03,-0.619583,-1.77E-06,-1.77E-03,-0.619583,-3.68E-06,-3.68E-03,-0.619583,-9.73E-06,-9.73E-03
-0.626144,-2.85E-06,-2.85E-03,-0.626144,-1.02E-07,-1.02E-04,-0.626144,-7.09E-07,-7.09E-04,-0.626144,-3.73E-06,-3.73E-03
-0.632706,-3.32E-07,-3.32E-04,-0.632706,0,0.00E+00,-0.632706,4.03E-07,4.03E-04,-0.632706,-6.16E-07,-6.16E-04
-0.639267,3.29E-07,3.29E-04,-0.639267,-8.93E-07,-8.93E-04,-0.639267,6.87E-07,6.87E-04,-0.639267,7.72E-07,7.72E-04
-0.645828,-8.99E-07,-8.99E-04,-0.645828,-2.92E-06,-2.92E-03,-0.645828,-3.09E-07,-3.09E-04,-0.645828,0,0.00E+00
-0.65239,-2.76E-06,-2.76E-03,-0.65239,-5.37E-06,-5.37E-03,-0.65239,-2.22E-06,-2.22E-03,-0.65239,-3.16E-06,-3.16E-03
-0.658951,-6.24E-06,-6.24E-03,-0.658951,-1.10E-05,-1.10E-02,-0.658951,-5.69E-06,-5.69E-03,-0.658951,-8.67E-06,-8.67E-03
-0.665512,-1.16E-05,-1.16E-02,-0.665512,-1.76E-05,-1.76E-02,-0.665512,-1.19E-05,-1.19E-02,-0.665512,-1.62E-05,-1.62E-02
-0.672073,-1.84E-05,-1.84E-02,-0.672073,-2.51E-05,-2.51E-02,-0.672073,-2.16E-05,-2.16E-02,-0.672073,-2.63E-05,-2.63E-02
-0.678635,-2.34E-05,-2.34E-02,-0.678635,-3.15E-05,-3.15E-02,-0.678635,-3.56E-05,-3.56E-02,-0.678635,-4.18E-05,-4.18E-02
,,,,,,-0.685196,-5.13E-05,-5.13E-02,-0.685196,-5.89E-05,-5.89E-02
,,,,,,-0.691757,-6.50E-05,-6.50E-02,-0.691757,-7.51E-05,-7.51E-02
,,,,,,-0.698318,-7.56E-05,-7.56E-02,-0.698318,-8.88E-05,-8.88E-02
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
