Time (s);WE(1).Potential (V);Corrected time (s);Index;WE(1).Current (A);Current range
88.1409107774656;-0.470916748046875;5.66999998568463;568;-0.0179901123046875;100 mA
88.1509107774403;-0.471771240234375;5.67999998565938;569;-0.0179931640625;100 mA
88.1609107774151;-0.47259521484375;5.68999998563413;570;-0.0179901123046875;100 mA
88.1709107773898;-0.473480224609375;5.69999998560888;571;-0.017987060546875;100 mA
88.1809107773646;-0.47430419921875;5.70999998558364;572;-0.0179901123046875;100 mA
88.1909107773394;-0.475189208984375;5.71999998555839;573;-0.0179901123046875;100 mA
88.2009107773141;-0.47607421875;5.72999998553314;574;-0.0179901123046875;100 mA
88.2109107772889;-0.476959228515625;5.73999998550789;575;-0.0179840087890625;100 mA
88.2209107772636;-0.4779052734375;5.74999998548265;576;-0.0179931640625;100 mA
88.2309107772384;-0.478790283203125;5.7599999854574;577;-0.0179901123046875;100 mA
88.2409107772131;-0.479736328125;5.76999998543215;578;-0.0179901123046875;100 mA
88.2509107771879;-0.480682373046875;5.7799999854069;579;-0.0179901123046875;100 mA
88.2609107771626;-0.481597900390625;5.78999998538166;580;-0.0179962158203125;100 mA
88.2709107771374;-0.48260498046875;5.79999998535641;581;-0.0179840087890625;100 mA
88.2809107771121;-0.483551025390625;5.80999998533116;582;-0.0179901123046875;100 mA
88.2909107770869;-0.484527587890625;5.81999998530591;583;-0.0179901123046875;100 mA
88.3009107770616;-0.48553466796875;5.82999998528066;584;-0.017987060546875;100 mA
88.3109107770364;-0.486541748046875;5.83999998525542;585;-0.0179962158203125;100 mA
88.3209107770111;-0.487579345703125;5.84999998523017;586;-0.0179962158203125;100 mA
88.3309107769859;-0.48858642578125;5.85999998520492;587;-0.0179901123046875;100 mA
88.3409107769606;-0.489654541015625;5.86999998517967;588;-0.0179931640625;100 mA
88.3509107769354;-0.49072265625;5.87999998515443;589;-0.0179931640625;100 mA
88.3609107769101;-0.491790771484375;5.88999998512918;590;-0.0179931640625;100 mA
88.3709107768849;-0.492919921875;5.89999998510393;591;-0.017987060546875;100 mA
88.3809107768597;-0.493988037109375;5.90999998507868;592;-0.0179901123046875;100 mA
88.3909107768344;-0.495147705078125;5.91999998505344;593;-0.017987060546875;100 mA
88.4009107768092;-0.49627685546875;5.92999998502819;594;-0.017987060546875;100 mA
88.4109107767839;-0.4974365234375;5.93999998500294;595;-0.0179901123046875;100 mA
88.4209107767587;-0.498626708984375;5.94999998497769;596;-0.0179901123046875;100 mA
88.4309107767334;-0.49957275390625;5.95999998495245;597;-0.0179901123046875;100 mA
88.4409107767082;-0.5010986328125;5.9699999849272;598;-0.01798095703125;100 mA
88.4509107766829;-0.5023193359375;5.97999998490195;599;-0.0179840087890625;100 mA
88.4609107766577;-0.5035400390625;5.9899999848767;600;-0.0179931640625;100 mA
88.4709107766324;-0.5047607421875;5.99999998485146;601;-0.017987060546875;100 mA
88.4809107766072;-0.5059814453125;6.00999998482621;602;-0.0179901123046875;100 mA
88.4909107765819;-0.5072021484375;6.01999998480096;603;-0.0179840087890625;100 mA
88.5009107765567;-0.50872802734375;6.02999998477571;604;-0.017987060546875;100 mA
88.5109107765314;-0.50994873046875;6.03999998475047;605;-0.0179931640625;100 mA
88.5209107765062;-0.511474609375;6.04999998472522;606;-0.0179840087890625;100 mA
88.5309107764809;-0.5126953125;6.05999998469997;607;-0.017987060546875;100 mA
88.5409107764557;-0.51422119140625;6.06999998467472;608;-0.0179901123046875;100 mA
88.5509107764304;-0.5157470703125;6.07999998464948;609;-0.017987060546875;100 mA
88.5609107764052;-0.51727294921875;6.08999998462423;610;-0.0179901123046875;100 mA
88.5709107763799;-0.518798828125;6.09999998459898;611;-0.0179840087890625;100 mA
88.5809107763547;-0.52032470703125;6.10999998457373;612;-0.0179901123046875;100 mA
88.5909107763295;-0.5218505859375;6.11999998454849;613;-0.0179840087890625;100 mA
88.6009107763042;-0.52337646484375;6.12999998452324;614;-0.017987060546875;100 mA
88.610910776279;-0.52490234375;6.13999998449799;615;-0.01798095703125;100 mA
88.6209107762537;-0.5267333984375;6.14999998447274;616;-0.0179840087890625;100 mA
88.6309107762285;-0.52825927734375;6.1599999844475;617;-0.0179901123046875;100 mA
88.6409107762032;-0.53009033203125;6.16999998442225;618;-0.017987060546875;100 mA
88.650910776178;-0.53192138671875;6.179999984397;619;-0.017987060546875;100 mA
88.6609107761527;-0.53375244140625;6.18999998437175;620;-0.0179901123046875;100 mA
88.6709107761275;-0.53558349609375;6.1999999843465;621;-0.01798095703125;100 mA
88.6809107761022;-0.53741455078125;6.20999998432126;622;-0.017987060546875;100 mA
88.690910776077;-0.53924560546875;6.21999998429601;623;-0.017987060546875;100 mA
88.7009107760517;-0.54107666015625;6.22999998427076;624;-0.0179840087890625;100 mA
88.7109107760265;-0.543212890625;6.23999998424551;625;-0.017987060546875;100 mA
88.7209107760012;-0.54534912109375;6.24999998422027;626;-0.0179840087890625;100 mA
88.730910775976;-0.5474853515625;6.25999998419502;627;-0.0179901123046875;100 mA
88.7409107759507;-0.54962158203125;6.26999998416977;628;-0.0179901123046875;100 mA
88.7509107759255;-0.5517578125;6.27999998414452;629;-0.0179901123046875;100 mA
88.7609107759002;-0.55389404296875;6.28999998411928;630;-0.0179931640625;100 mA
88.770910775875;-0.55633544921875;6.29999998409403;631;-0.017987060546875;100 mA
88.7809107758497;-0.5584716796875;6.30999998406878;632;-0.0179840087890625;100 mA
88.7909107758245;-0.5609130859375;6.31999998404353;633;-0.017987060546875;100 mA
88.8009107757993;-0.5633544921875;6.32999998401829;634;-0.017987060546875;100 mA
88.810910775774;-0.5657958984375;6.33999998399304;635;-0.0179901123046875;100 mA
88.8209107757488;-0.56854248046875;6.34999998396779;636;-0.01798095703125;100 mA
88.8309107757235;-0.57098388671875;6.35999998394254;637;-0.0179901123046875;100 mA
88.8409107756983;-0.57373046875;6.3699999839173;638;-0.017987060546875;100 mA
88.850910775673;-0.57647705078125;6.37999998389205;639;-0.01798095703125;100 mA
88.8609107756478;-0.5792236328125;6.3899999838668;640;-0.017987060546875;100 mA
88.8709107756225;-0.582275390625;6.39999998384155;641;-0.017987060546875;100 mA
88.8809107755973;-0.58502197265625;6.40999998381631;642;-0.017987060546875;100 mA
88.890910775572;-0.58807373046875;6.41999998379106;643;-0.017987060546875;100 mA
88.9009107755468;-0.59112548828125;6.42999998376581;644;-0.0179901123046875;100 mA
88.9109107755215;-0.594482421875;6.43999998374056;645;-0.0179840087890625;100 mA
88.9209107754963;-0.5975341796875;6.44999998371532;646;-0.017987060546875;100 mA
88.930910775471;-0.60089111328125;6.45999998369007;647;-0.017987060546875;100 mA
88.9409107754458;-0.604248046875;6.46999998366482;648;-0.0179931640625;100 mA
88.9509107754205;-0.60791015625;6.47999998363957;649;-0.0179901123046875;100 mA
88.9609107753953;-0.61126708984375;6.48999998361433;650;-0.017987060546875;100 mA
88.97091077537;-0.61492919921875;6.49999998358908;651;-0.0179840087890625;100 mA
88.9809107753448;-0.61859130859375;6.50999998356383;652;-0.0179840087890625;100 mA
88.9909107753195;-0.62225341796875;6.51999998353858;653;-0.017987060546875;100 mA
89.0009107752943;-0.626220703125;6.52999998351333;654;-0.01798095703125;100 mA
89.0109107752691;-0.63018798828125;6.53999998348809;655;-0.0179931640625;100 mA
89.0209107752438;-0.6341552734375;6.54999998346284;656;-0.0179840087890625;100 mA
89.0309107752186;-0.63812255859375;6.55999998343759;657;-0.017987060546875;100 mA
89.0409107751933;-0.64208984375;6.56999998341234;658;-0.0179901123046875;100 mA
89.0509107751681;-0.6463623046875;6.5799999833871;659;-0.017987060546875;100 mA
89.0609107751428;-0.65032958984375;6.58999998336185;660;-0.0179840087890625;100 mA
89.0709107751176;-0.6549072265625;6.5999999833366;661;-0.0179840087890625;100 mA
89.0809107750923;-0.6591796875;6.60999998331135;662;-0.017987060546875;100 mA
89.0909107750671;-0.6634521484375;6.61999998328611;663;-0.017987060546875;100 mA
89.1009107750418;-0.66802978515625;6.62999998326086;664;-0.01798095703125;100 mA
89.1109107750166;-0.67230224609375;6.63999998323561;665;-0.017987060546875;100 mA
89.1209107749913;-0.6768798828125;6.64999998321036;666;-0.0179931640625;100 mA
89.1309107749661;-0.68145751953125;6.65999998318512;667;-0.0179840087890625;100 mA
89.1409107749408;-0.68603515625;6.66999998315987;668;-0.0179840087890625;100 mA
89.1509107749156;-0.69061279296875;6.67999998313462;669;-0.0179840087890625;100 mA
89.1609107748903;-0.6951904296875;6.68999998310937;670;-0.0179840087890625;100 mA
89.1709107748651;-0.69976806640625;6.69999998308413;671;-0.0179840087890625;100 mA
89.1809107748398;-0.70465087890625;6.70999998305888;672;-0.0179779052734375;100 mA
89.1909107748146;-0.709228515625;6.71999998303363;673;-0.0179840087890625;100 mA
89.2009107747893;-0.71380615234375;6.72999998300838;674;-0.01798095703125;100 mA
89.2109107747641;-0.71868896484375;6.73999998298314;675;-0.017987060546875;100 mA
89.2209107747389;-0.7232666015625;6.74999998295789;676;-0.0179840087890625;100 mA
89.2309107747136;-0.72784423828125;6.75999998293264;677;-0.017987060546875;100 mA
89.2409107746884;-0.73272705078125;6.76999998290739;678;-0.017987060546875;100 mA
89.2509107746631;-0.7373046875;6.77999998288215;679;-0.01798095703125;100 mA
89.2609107746379;-0.74188232421875;6.7899999828569;680;-0.017987060546875;100 mA
89.2709107746126;-0.74676513671875;6.79999998283165;681;-0.01798095703125;100 mA
